order_id,customer_id,outlet_id,platform_id,order_datetime,order_status,cancellation_reason,gross_order_value,platform_funded_discount,restaurant_funded_discount,net_order_value,commission_amount,other_deductions,customer_delivery_fee,refund_amount,restaurant_settlement,packaging_cost,promised_minutes,prep_minutes,delivery_minutes,rating,basket_type,is_combo_order
41,34,1,1,2018-02-04 14:10:44,completed,,308.0,82.98,0.0,225.02,86.24,2.16,40.04,0.0,136.62,15.0,45,30,14,5,1 main,0
42,11,1,3,2018-02-04 15:49:51,completed,,688.0,196.75,0.0,491.25,192.64,4.47,82.56,0.0,294.14,15.0,45,16,28,,2 mains + beverage,0
43,35,1,2,2018-02-04 13:00:21,completed,,415.0,81.25,0.0,333.75,116.2,2.91,56.03,0.0,214.65,15.0,45,17,20,5,1 main + beverage,0
44,36,1,4,2018-02-04 12:43:52,completed,,567.0,0.0,48.41,518.59,158.76,3.4,70.88,0.0,356.43,15.0,45,29,24,,2 mains + beverage,1
45,10,1,2,2018-02-04 22:28:14,completed,,311.0,0.0,0.0,311.0,87.08,2.18,41.98,0.0,221.74,15.0,45,22,23,5,1 main,0
46,37,1,3,2018-02-04 11:26:29,completed,,590.0,0.0,0.0,590.0,165.2,3.83,70.8,0.0,420.96,15.0,45,24,15,,2 mains,0
47,38,1,3,2018-02-04 08:11:47,completed,,298.0,63.21,0.0,234.79,83.44,1.94,35.76,0.0,149.42,15.0,45,19,17,5,1 main + beverage,0
48,39,1,3,2018-02-04 20:18:35,completed,,267.0,0.0,27.98,239.02,74.76,1.74,32.04,0.0,162.53,15.0,45,24,24,,1 main,0
49,40,1,1,2018-02-04 16:42:36,completed,,543.0,37.02,0.0,505.98,152.04,3.8,70.59,0.0,350.14,15.0,45,26,21,3,2 mains,0
50,41,1,2,2018-02-04 14:55:04,completed,,397.0,76.84,0.0,320.16,111.16,2.78,53.6,0.0,206.22,15.0,45,18,13,,1 main + beverage,0
51,30,1,1,2018-02-04 16:15:18,completed,,308.0,50.27,0.0,257.73,86.24,2.16,40.04,0.0,169.33,15.0,45,13,17,5,1 main,0
52,7,1,1,2018-02-04 22:24:10,completed,,668.0,103.47,0.0,564.53,187.04,4.68,86.84,0.0,372.81,15.0,45,23,30,,2 mains + beverage,0
53,42,1,1,2018-02-04 20:16:14,completed,,308.0,38.4,0.0,269.6,86.24,2.16,40.04,0.0,181.2,15.0,45,26,19,4,1 main,0
54,18,1,1,2018-02-04 19:24:10,completed,,308.0,23.17,0.0,284.83,86.24,2.16,40.04,0.0,196.43,15.0,45,20,15,5,1 main,0
55,43,1,2,2018-02-04 20:07:28,completed,,622.0,213.54,0.0,408.46,174.16,4.35,83.97,0.0,229.94,15.0,45,23,29,5,2 mains,0
56,44,1,2,2018-02-04 09:51:07,completed,,690.0,50.06,0.0,639.94,193.2,4.83,93.15,0.0,441.91,15.0,45,25,22,4,2 mains,0
57,45,1,1,2018-02-04 13:55:36,completed,,308.0,84.66,0.0,223.34,86.24,2.16,40.04,0.0,134.94,15.0,45,14,27,,1 main,0
58,32,1,4,2018-02-04 12:07:19,completed,,304.0,0.0,0.0,304.0,85.12,1.82,38.0,0.0,217.06,15.0,45,13,26,,1 main,0
59,46,1,1,2018-02-04 14:46:19,completed,,308.0,0.0,41.66,266.34,86.24,2.16,40.04,0.0,177.94,15.0,45,24,25,4,1 main,0
60,47,1,2,2018-02-04 14:23:16,completed,,388.0,0.0,0.0,388.0,108.64,2.72,52.38,0.0,276.64,15.0,45,22,17,5,1 main + beverage,0
61,48,1,1,2018-02-04 19:02:31,completed,,632.0,50.17,0.0,581.83,176.96,4.42,82.16,0.0,400.45,15.0,45,18,18,3,2 mains + beverage,0
62,49,1,4,2018-02-04 20:13:16,completed,,352.0,109.11,0.0,242.89,98.56,2.11,44.0,0.0,142.22,15.0,45,19,10,5,1 main + add-on,0
63,13,1,2,2018-02-04 20:23:41,completed,,606.0,0.0,0.0,606.0,169.68,4.24,81.81,0.0,432.08,15.0,45,17,23,5,2 mains,0
64,31,1,2,2018-02-05 19:25:20,completed,,284.0,0.0,0.0,284.0,79.52,1.99,38.34,0.0,202.49,15.0,40,17,24,1,1 main,0
65,50,1,2,2018-02-05 21:16:36,completed,,271.0,29.85,0.0,241.15,75.88,1.9,36.59,0.0,163.37,15.0,40,18,21,4,1 main,0
66,51,1,1,2018-02-05 20:19:49,completed,,342.0,60.22,0.0,281.78,95.76,2.39,44.46,0.0,183.63,15.0,40,24,19,5,1 main,0
67,52,1,3,2018-02-05 22:07:02,completed,,305.0,51.59,0.0,253.41,85.4,1.98,36.6,0.0,166.03,15.0,40,21,21,5,1 main,0
68,53,1,1,2018-02-05 12:20:27,completed,,316.0,0.0,0.0,316.0,88.48,2.21,41.08,0.0,225.31,15.0,40,18,29,4,1 main + beverage,0
69,54,1,3,2018-02-05 12:05:40,refunded_partial,,323.0,0.0,0.0,323.0,90.44,2.1,38.76,57.82,172.64,15.0,40,8,18,4,1 main,0
70,55,1,2,2018-02-05 17:12:02,completed,,311.0,0.0,0.0,311.0,87.08,2.18,41.98,0.0,221.74,15.0,40,21,14,4,1 main,0
71,56,1,1,2018-02-05 14:08:02,completed,,649.0,0.0,0.0,649.0,181.72,4.54,84.37,0.0,462.74,15.0,40,24,37,,2 mains + beverage,0
72,44,1,2,2018-02-05 22:04:41,completed,,287.0,0.0,43.51,243.49,80.36,2.01,38.75,0.0,161.12,15.0,40,15,18,5,1 main + beverage,0
73,4,1,1,2018-02-06 20:28:36,completed,,325.0,0.0,0.0,325.0,91.0,2.27,42.25,0.0,231.72,15.0,40,19,22,,1 main,0
74,6,1,3,2018-02-06 18:26:09,completed,,423.0,0.0,0.0,423.0,118.44,2.75,50.76,0.0,301.81,15.0,40,14,22,3,1 main + beverage,0
75,47,1,2,2018-02-06 22:15:21,cancelled,customer cancelled,354.0,76.71,0.0,277.29,99.12,2.48,47.79,0.0,175.7,0.0,40,24,33,,1 main + beverage,0
76,57,1,1,2018-02-06 09:20:27,completed,,308.0,0.0,0.0,308.0,86.24,2.16,40.04,0.0,219.6,15.0,40,24,25,4,1 main,0
77,58,1,2,2018-02-06 22:18:22,completed,,394.0,40.88,0.0,353.12,110.32,2.76,53.19,0.0,240.04,15.0,40,30,14,5,1 main + add-on,0
78,50,1,2,2018-02-06 21:00:56,cancelled,restaurant delay,289.0,0.0,0.0,289.0,80.92,2.02,39.02,0.0,206.06,0.0,40,22,17,,1 main,0
79,59,1,2,2018-02-06 21:27:39,completed,,564.3,94.53,0.0,469.77,158.0,3.95,76.18,0.0,307.82,15.0,40,21,22,,2 mains + beverage,1
80,60,1,2,2018-02-06 13:04:18,completed,,345.0,0.0,48.15,296.85,96.6,2.42,46.58,0.0,197.84,15.0,40,18,23,3,1 main,0
81,16,1,3,2018-02-06 18:39:52,completed,,284.0,55.9,0.0,228.1,79.52,1.85,34.08,0.0,146.73,15.0,40,20,11,,1 main,0
82,61,1,1,2018-02-06 21:27:26,completed,,311.0,0.0,0.0,311.0,87.08,2.18,40.43,0.0,221.74,15.0,40,19,19,4,1 main + beverage,0
83,13,1,2,2018-02-07 20:25:04,completed,,271.0,0.0,0.0,271.0,75.88,1.9,36.59,0.0,193.22,15.0,40,17,19,5,1 main,0
84,62,1,3,2018-02-07 22:27:00,completed,,305.0,0.0,28.49,276.51,85.4,1.98,36.6,0.0,189.13,15.0,40,13,26,5,1 main,0
85,30,1,1,2018-02-07 11:52:57,completed,,544.0,80.76,0.0,463.24,152.32,3.81,70.72,0.0,307.11,15.0,40,10,18,5,2 mains,0
86,63,1,4,2018-02-07 20:21:02,completed,,255.0,0.0,0.0,255.0,71.4,1.53,31.88,0.0,182.07,15.0,40,25,17,5,1 main,0
87,64,1,2,2018-02-07 18:52:19,completed,,547.0,94.86,0.0,452.14,153.16,3.83,73.84,0.0,295.15,15.0,40,16,29,,2 mains + beverage,0
88,50,1,2,2018-02-07 19:00:44,completed,,356.0,0.0,50.1,305.9,99.68,2.49,48.06,0.0,203.73,15.0,40,28,25,5,1 main + beverage,0
89,17,1,2,2018-02-07 14:20:02,completed,,332.0,35.71,0.0,296.29,92.96,2.32,44.82,0.0,201.01,15.0,40,24,37,4,1 main + beverage,0
90,65,1,3,2018-02-07 19:23:04,completed,,577.0,118.37,0.0,458.63,161.56,3.75,69.24,0.0,293.32,15.0,40,31,20,4,2 mains + beverage,0
91,66,1,2,2018-02-07 14:14:33,completed,,327.0,74.8,0.0,252.2,91.56,2.29,44.15,0.0,158.35,15.0,40,21,20,5,1 main + add-on,0
92,58,1,2,2018-02-07 22:16:30,completed,,260.0,0.0,40.7,219.3,72.8,1.82,35.1,0.0,144.68,15.0,40,21,24,5,1 main,0
93,6,1,3,2018-02-07 22:20:11,completed,,309.0,90.1,0.0,218.9,86.52,2.01,37.08,0.0,130.37,15.0,40,24,22,,1 main + beverage,0
94,67,1,2,2018-02-08 11:30:58,completed,,717.0,152.04,0.0,564.96,200.76,5.02,96.8,0.0,359.18,15.0,40,17,8,5,2 mains + beverage,0
95,68,1,1,2018-02-08 18:39:27,completed,,325.0,38.48,0.0,286.52,91.0,2.27,42.25,0.0,193.24,15.0,40,26,29,5,1 main,0
96,69,1,1,2018-02-08 11:36:16,completed,,543.0,0.0,108.98,434.02,152.04,3.8,70.59,0.0,278.18,15.0,40,21,34,5,2 mains,0
97,70,1,4,2018-02-08 20:28:08,completed,,627.0,0.0,85.41,541.59,175.56,3.76,78.38,0.0,362.26,15.0,40,23,19,5,2 mains + beverage,0
98,71,1,2,2018-02-08 08:38:15,completed,,271.0,0.0,51.3,219.7,75.88,1.9,36.59,0.0,141.93,15.0,40,28,13,,1 main,0
99,72,1,4,2018-02-08 18:44:00,completed,,322.0,59.94,0.0,262.06,90.16,1.93,40.25,0.0,169.97,15.0,40,27,24,5,1 main,0
100,73,1,4,2018-02-08 22:28:54,completed,,277.2,0.0,0.0,277.2,77.62,1.66,34.65,0.0,197.92,15.0,40,17,21,,1 main + add-on,1
101,74,1,4,2018-02-08 19:09:14,completed,,341.0,101.47,0.0,239.53,95.48,2.05,42.62,0.0,142.0,15.0,40,26,24,5,1 main + add-on,0
102,20,1,1,2018-02-08 12:17:25,completed,,599.0,0.0,51.4,547.6,167.72,4.19,77.87,0.0,375.68,15.0,40,29,24,,2 mains,0
103,75,1,1,2018-02-08 13:22:27,completed,,390.0,62.81,0.0,327.19,109.2,2.73,50.7,0.0,215.26,15.0,40,15,10,2,1 main + add-on,0
104,76,1,3,2018-02-09 20:17:22,completed,,323.0,0.0,55.32,267.68,90.44,2.1,38.76,0.0,175.15,15.0,40,21,27,5,1 main,0
105,77,1,3,2018-02-09 12:46:07,completed,,256.0,0.0,42.6,213.4,71.68,1.66,30.72,0.0,140.05,15.0,40,23,33,,1 main,0
106,67,1,2,2018-02-09 22:29:53,completed,,260.0,0.0,21.45,238.55,72.8,1.82,35.1,0.0,163.93,15.0,40,23,20,3,1 main,0
107,78,1,1,2018-02-09 10:42:03,completed,,317.0,52.58,0.0,264.42,88.76,2.22,41.21,0.0,173.44,15.0,40,23,22,5,1 main + add-on,0
108,72,1,4,2018-02-09 22:21:22,completed,,338.0,0.0,0.0,338.0,94.64,2.03,42.25,0.0,241.33,15.0,40,19,26,5,1 main,0
109,5,1,1,2018-02-09 10:55:45,completed,,594.0,149.71,0.0,444.29,166.32,4.16,77.22,0.0,273.81,15.0,40,16,37,,2 mains,0
110,79,1,3,2018-02-09 13:04:53,completed,,267.0,23.42,0.0,243.58,74.76,1.74,32.04,0.0,167.08,15.0,40,22,22,3,1 main,0
111,12,1,3,2018-02-09 17:40:18,completed,,256.0,0.0,19.29,236.71,71.68,1.66,30.72,0.0,163.36,15.0,40,23,24,,1 main,0
112,80,1,1,2018-02-10 22:04:32,completed,,308.0,0.0,0.0,308.0,86.24,2.16,40.04,0.0,219.6,15.0,45,16,21,4,1 main,0
113,81,1,1,2018-02-10 21:19:55,completed,,280.8,0.0,0.0,280.8,78.62,1.97,36.5,0.0,200.21,15.0,45,24,48,,1 main + beverage,1
114,59,1,2,2018-02-10 19:25:25,completed,,354.0,0.0,0.0,354.0,99.12,2.48,47.79,0.0,252.4,15.0,45,15,21,5,1 main + beverage,0
115,22,1,3,2018-02-10 22:12:37,completed,,278.0,0.0,0.0,278.0,77.84,1.81,33.36,0.0,198.35,15.0,45,20,34,4,1 main,0
116,82,1,1,2018-02-10 20:28:27,completed,,325.0,0.0,0.0,325.0,91.0,2.27,42.25,0.0,231.72,15.0,45,16,17,,1 main,0
117,83,1,3,2018-02-10 12:14:28,completed,,347.0,60.13,0.0,286.87,97.16,2.26,41.64,0.0,187.45,15.0,45,17,32,5,1 main + beverage,0
118,84,1,2,2018-02-10 13:47:22,completed,,659.0,200.15,0.0,458.85,184.52,4.61,88.97,0.0,269.72,15.0,45,18,20,,2 mains + beverage,0
119,85,1,4,2018-02-10 18:06:31,completed,,292.0,76.53,0.0,215.47,81.76,1.75,36.5,0.0,131.96,15.0,45,18,17,,1 main + beverage,0
120,31,1,2,2018-02-10 13:11:07,completed,,363.0,0.0,0.0,363.0,101.64,2.54,49.01,0.0,258.82,15.0,45,12,11,5,1 main + beverage,0
121,86,1,2,2018-02-10 20:10:52,completed,,929.0,0.0,130.29,798.71,260.12,6.5,125.42,0.0,532.09,15.0,45,15,22,,3 mains,0
122,71,1,2,2018-02-10 18:45:35,completed,,571.0,0.0,40.85,530.15,159.88,4.0,77.09,0.0,366.27,15.0,45,18,39,5,2 mains,0
123,87,1,2,2018-02-10 18:45:06,completed,,613.0,0.0,0.0,613.0,171.64,4.29,82.76,0.0,437.07,15.0,45,20,19,,2 mains,0
124,88,1,1,2018-02-10 12:44:28,completed,,564.0,141.64,0.0,422.36,157.92,3.95,73.32,0.0,260.49,15.0,45,20,32,3,2 mains + beverage,0
125,89,1,2,2018-02-10 21:26:49,completed,,303.0,0.0,23.22,279.78,84.84,2.12,40.91,0.0,192.82,15.0,45,18,34,4,1 main + beverage,0
126,90,1,1,2018-02-10 20:30:36,completed,,269.0,0.0,0.0,269.0,75.32,1.88,34.97,0.0,191.8,15.0,45,15,10,5,1 main,0
127,91,1,1,2018-02-10 14:26:42,completed,,325.0,85.11,0.0,239.89,91.0,2.27,42.25,0.0,146.62,15.0,45,22,47,2,1 main,0
128,15,1,1,2018-02-10 13:06:58,completed,,351.0,53.48,0.0,297.52,98.28,2.46,45.63,0.0,196.79,15.0,45,14,27,,1 main + beverage,0
129,85,1,4,2018-02-11 20:15:49,completed,,885.0,0.0,0.0,885.0,247.8,5.31,110.62,0.0,631.89,15.0,45,23,14,5,3 mains,0
130,46,1,1,2018-02-11 12:58:54,cancelled,platform technical issue,650.0,0.0,80.23,569.77,182.0,4.55,84.5,0.0,383.22,0.0,45,17,17,,2 mains,0
131,2,1,2,2018-02-11 22:05:03,completed,,656.0,0.0,0.0,656.0,183.68,4.59,88.56,0.0,467.73,15.0,45,19,30,5,2 mains,0
132,92,1,3,2018-02-11 21:24:16,completed,,305.0,66.4,0.0,238.6,85.4,1.98,36.6,0.0,151.22,15.0,45,23,25,5,1 main,0
133,93,1,1,2018-02-11 21:30:38,completed,,325.0,0.0,0.0,325.0,91.0,2.27,42.25,0.0,231.72,15.0,45,24,29,5,1 main,0
134,90,1,1,2018-02-11 21:08:26,completed,,269.0,21.52,0.0,247.48,75.32,1.88,34.97,0.0,170.27,15.0,45,17,27,,1 main,0
135,94,1,1,2018-02-11 12:42:37,completed,,379.0,0.0,0.0,379.0,106.12,2.65,49.27,0.0,270.23,15.0,45,21,29,4,1 main + add-on,0
136,95,1,2,2018-02-11 22:14:58,completed,,329.0,67.23,0.0,261.77,92.12,2.3,44.42,0.0,167.35,15.0,45,26,36,5,1 main,0
137,57,1,1,2018-02-11 19:04:13,completed,,384.0,80.27,0.0,303.73,107.52,2.69,49.92,0.0,193.53,15.0,45,17,26,,1 main + beverage,0
138,96,1,2,2018-02-11 13:29:41,completed,,284.0,0.0,0.0,284.0,79.52,1.99,38.34,0.0,202.49,15.0,45,21,23,5,1 main,0
139,97,1,1,2018-02-11 11:42:33,completed,,342.0,0.0,0.0,342.0,95.76,2.39,44.46,0.0,243.85,15.0,45,10,27,5,1 main,0
140,98,1,1,2018-02-11 19:04:08,completed,,667.0,0.0,0.0,667.0,186.76,4.67,86.71,0.0,475.57,15.0,45,21,26,,2 mains,0
141,65,1,3,2018-02-11 21:12:45,completed,,282.0,0.0,0.0,282.0,78.96,1.83,33.84,0.0,201.21,15.0,45,27,18,4,1 main + beverage,0
142,99,1,3,2018-02-11 21:24:21,completed,,662.0,183.09,0.0,478.91,185.36,4.3,79.44,0.0,289.25,15.0,45,22,18,,2 mains,0
143,72,1,4,2018-02-11 13:26:57,completed,,266.0,53.21,0.0,212.79,74.48,1.6,33.25,0.0,136.71,15.0,45,25,26,5,1 main,0
144,100,1,1,2018-02-11 19:24:10,completed,,594.0,96.69,0.0,497.31,166.32,4.16,77.22,0.0,326.83,15.0,45,22,19,,2 mains,0
145,101,1,2,2018-02-11 21:29:50,completed,,329.0,0.0,40.67,288.33,92.12,2.3,44.42,0.0,193.91,15.0,45,15,30,5,1 main,0
146,102,1,1,2018-02-11 17:39:32,completed,,269.0,0.0,0.0,269.0,75.32,1.88,34.97,0.0,191.8,15.0,45,21,18,4,1 main,0
147,103,1,2,2018-02-11 14:32:30,completed,,345.0,40.08,0.0,304.92,96.6,2.42,46.58,0.0,205.91,15.0,45,22,25,5,1 main,0
148,104,1,3,2018-02-11 17:00:12,completed,,267.0,0.0,0.0,267.0,74.76,1.74,32.04,0.0,190.5,15.0,45,20,20,3,1 main,0
149,18,1,1,2018-02-11 16:24:07,completed,,558.0,0.0,0.0,558.0,156.24,3.91,72.54,0.0,397.85,15.0,45,26,32,3,2 mains + beverage,0
150,105,1,2,2018-02-11 20:21:13,completed,,598.0,0.0,0.0,598.0,167.44,4.19,80.73,0.0,426.37,15.0,45,16,27,5,2 mains + beverage,0
151,106,1,2,2018-02-11 21:22:38,cancelled,customer cancelled,542.0,0.0,106.99,435.01,151.76,3.79,73.17,0.0,279.46,0.0,45,10,9,,2 mains,0
152,40,1,1,2018-02-11 22:26:16,completed,,284.0,28.3,0.0,255.7,79.52,1.99,36.92,0.0,174.2,15.0,45,15,20,,1 main + beverage,0
153,107,1,2,2018-02-11 21:10:59,completed,,311.0,0.0,0.0,311.0,87.08,2.18,41.98,0.0,221.74,15.0,45,24,23,5,1 main,0
154,108,1,1,2018-02-11 13:16:30,completed,,300.0,72.64,0.0,227.36,84.0,2.1,39.0,0.0,141.26,15.0,45,24,15,,1 main + beverage,0
155,109,1,1,2018-02-12 13:09:16,completed,,269.0,55.53,0.0,213.47,75.32,1.88,34.97,0.0,136.26,15.0,40,19,21,,1 main,0
156,6,1,3,2018-02-12 15:20:01,completed,,298.0,0.0,0.0,298.0,83.44,1.94,35.76,0.0,212.62,15.0,40,15,16,5,1 main + beverage,0
157,86,1,2,2018-02-12 13:34:48,completed,,548.0,62.63,0.0,485.37,153.44,3.84,73.98,0.0,328.1,15.0,40,16,28,,2 mains,0
158,110,1,1,2018-02-12 22:00:33,completed,,311.0,0.0,0.0,311.0,87.08,2.18,40.43,0.0,221.74,15.0,40,25,24,5,1 main + beverage,0
159,21,1,3,2018-02-12 15:23:44,completed,,610.0,0.0,57.33,552.67,170.8,3.96,73.2,0.0,377.91,15.0,40,16,22,5,2 mains,0
160,111,1,1,2018-02-12 11:08:01,completed,,350.0,0.0,0.0,350.0,98.0,2.45,45.5,0.0,249.55,15.0,40,23,24,,1 main + beverage,0
161,112,1,1,2018-02-12 15:49:23,completed,,311.0,36.56,0.0,274.44,87.08,2.18,40.43,0.0,185.18,15.0,40,19,23,5,1 main + beverage,0
162,113,1,2,2018-02-12 15:34:49,completed,,271.0,0.0,46.78,224.22,75.88,1.9,36.59,0.0,146.44,15.0,40,16,21,4,1 main,0
163,84,1,2,2018-02-12 19:16:40,cancelled,rider unavailable,271.0,0.0,34.96,236.04,75.88,1.9,36.59,0.0,158.27,0.0,40,25,16,,1 main,0
164,114,1,1,2018-02-12 22:42:30,completed,,574.0,30.45,0.0,543.55,160.72,4.02,74.62,0.0,378.82,15.0,40,24,64,3,2 mains + beverage,0
165,115,1,3,2018-02-13 14:12:09,completed,,606.0,0.0,0.0,606.0,169.68,3.94,72.72,0.0,432.38,15.0,40,26,10,5,2 mains,0
166,116,1,1,2018-02-13 20:22:01,completed,,310.0,101.98,0.0,208.02,86.8,2.17,40.3,0.0,119.05,15.0,40,20,22,,1 main + beverage,0
167,114,1,1,2018-02-13 20:04:02,completed,,350.0,0.0,0.0,350.0,98.0,2.45,45.5,0.0,249.55,15.0,40,25,25,4,1 main + beverage,0
168,117,1,4,2018-02-13 20:04:49,completed,,303.0,82.1,0.0,220.9,84.84,1.82,37.88,0.0,134.24,15.0,40,22,26,3,1 main + add-on,0
169,118,1,1,2018-02-13 13:38:01,completed,,312.0,0.0,49.64,262.36,87.36,2.18,40.56,0.0,172.82,15.0,40,17,12,4,1 main + beverage,0
