availability_id,outlet_id,menu_item_id,availability_date,batch_prepared_qty,sold_out_time,estimated_lost_orders
199,1,1,2018-02-23,1,,0
200,1,2,2018-02-23,2,,0
201,1,3,2018-02-23,1,,0
202,1,5,2018-02-23,1,,0
203,1,6,2018-02-23,1,,0
204,1,8,2018-02-23,1,,0
205,1,9,2018-02-23,1,,0
206,1,10,2018-02-23,1,,0
207,1,11,2018-02-23,1,,0
208,1,1,2018-02-24,3,,0
209,1,2,2018-02-24,3,,0
210,1,3,2018-02-24,2,,0
211,1,5,2018-02-24,2,,0
212,1,6,2018-02-24,1,,0
213,1,8,2018-02-24,2,,0
214,1,9,2018-02-24,1,,0
215,1,10,2018-02-24,1,,0
216,1,11,2018-02-24,1,22:00:00,5
217,1,1,2018-02-25,3,,0
218,1,2,2018-02-25,4,,0
219,1,3,2018-02-25,2,,0
220,1,5,2018-02-25,2,,0
221,1,6,2018-02-25,1,,0
222,1,8,2018-02-25,3,,0
223,1,9,2018-02-25,1,,0
224,1,10,2018-02-25,1,,0
225,1,11,2018-02-25,1,,0
226,1,1,2018-02-26,1,,0
227,1,2,2018-02-26,1,,0
228,1,3,2018-02-26,1,,0
229,1,5,2018-02-26,1,,0
230,1,6,2018-02-26,1,,0
231,1,8,2018-02-26,1,,0
232,1,9,2018-02-26,1,,0
233,1,10,2018-02-26,1,,0
234,1,11,2018-02-26,1,,0
235,1,1,2018-02-27,1,,0
236,1,2,2018-02-27,1,,0
237,1,3,2018-02-27,1,,0
238,1,5,2018-02-27,1,,0
239,1,6,2018-02-27,1,,0
240,1,8,2018-02-27,1,,0
241,1,9,2018-02-27,1,,0
242,1,10,2018-02-27,1,,0
243,1,11,2018-02-27,1,,0
244,1,1,2018-02-28,1,,0
245,1,2,2018-02-28,1,,0
246,1,3,2018-02-28,1,,0
247,1,5,2018-02-28,1,,0
248,1,6,2018-02-28,1,,0
249,1,8,2018-02-28,1,,0
250,1,9,2018-02-28,1,,0
251,1,10,2018-02-28,1,,0
252,1,11,2018-02-28,1,,0
253,1,1,2018-03-01,1,,0
254,1,2,2018-03-01,1,,0
255,1,3,2018-03-01,1,,0
256,1,5,2018-03-01,1,,0
257,1,6,2018-03-01,1,,0
258,1,8,2018-03-01,1,,0
259,1,9,2018-03-01,1,,0
260,1,10,2018-03-01,1,,0
261,1,11,2018-03-01,1,,0
262,1,1,2018-03-02,1,,0
263,1,2,2018-03-02,1,,0
264,1,3,2018-03-02,1,,0
265,1,5,2018-03-02,1,,0
266,1,6,2018-03-02,1,,0
267,1,8,2018-03-02,1,,0
268,1,9,2018-03-02,1,20:36:00,6
269,1,10,2018-03-02,1,,0
270,1,11,2018-03-02,1,,0
271,1,1,2018-03-03,3,,0
272,1,2,2018-03-03,3,,0
273,1,3,2018-03-03,2,,0
274,1,5,2018-03-03,2,,0
275,1,6,2018-03-03,1,,0
276,1,8,2018-03-03,2,,0
277,1,9,2018-03-03,1,,0
278,1,10,2018-03-03,1,,0
279,1,11,2018-03-03,1,,0
280,1,1,2018-03-04,5,,0
281,1,2,2018-03-04,5,,0
282,1,3,2018-03-04,3,,0
283,1,5,2018-03-04,4,21:05:00,1
284,1,6,2018-03-04,2,,0
285,1,8,2018-03-04,4,,0
286,1,9,2018-03-04,2,,0
287,1,10,2018-03-04,1,,0
288,1,11,2018-03-04,1,,0
289,1,1,2018-03-05,2,,0
290,1,2,2018-03-05,2,,0
291,1,3,2018-03-05,1,,0
292,1,5,2018-03-05,1,19:39:00,2
293,1,6,2018-03-05,1,,0
294,1,8,2018-03-05,1,,0
295,1,9,2018-03-05,1,,0
296,1,10,2018-03-05,1,,0
297,1,11,2018-03-05,1,,0
298,1,1,2018-03-06,1,,0
299,1,2,2018-03-06,2,,0
300,1,3,2018-03-06,1,,0
301,1,5,2018-03-06,1,,0
302,1,6,2018-03-06,1,,0
303,1,8,2018-03-06,1,,0
304,1,9,2018-03-06,1,,0
305,1,10,2018-03-06,1,,0
306,1,11,2018-03-06,1,,0
307,1,1,2018-03-07,2,,0
308,1,2,2018-03-07,2,,0
309,1,3,2018-03-07,1,,0
310,1,5,2018-03-07,1,,0
311,1,6,2018-03-07,1,,0
312,1,8,2018-03-07,1,,0
313,1,9,2018-03-07,1,,0
314,1,10,2018-03-07,1,,0
315,1,11,2018-03-07,1,,0
316,1,1,2018-03-08,2,,0
317,1,2,2018-03-08,2,,0
318,1,3,2018-03-08,1,19:20:00,6
319,1,5,2018-03-08,1,,0
320,1,6,2018-03-08,1,,0
321,1,8,2018-03-08,1,,0
322,1,9,2018-03-08,1,,0
323,1,10,2018-03-08,1,,0
324,1,11,2018-03-08,1,,0
325,1,1,2018-03-09,1,,0
326,1,2,2018-03-09,2,,0
327,1,3,2018-03-09,1,,0
328,1,5,2018-03-09,1,,0
329,1,6,2018-03-09,1,,0
330,1,8,2018-03-09,1,,0
331,1,9,2018-03-09,1,,0
332,1,10,2018-03-09,1,,0
333,1,11,2018-03-09,1,,0
334,1,1,2018-03-10,3,,0
335,1,2,2018-03-10,3,,0
336,1,3,2018-03-10,2,,0
337,1,5,2018-03-10,2,,0
338,1,6,2018-03-10,1,19:13:00,5
339,1,8,2018-03-10,2,,0
340,1,9,2018-03-10,1,,0
341,1,10,2018-03-10,1,22:10:00,6
342,1,11,2018-03-10,1,,0
343,1,1,2018-03-11,3,,0
344,1,2,2018-03-11,4,,0
345,1,3,2018-03-11,3,,0
346,1,5,2018-03-11,3,,0
347,1,6,2018-03-11,2,,0
348,1,8,2018-03-11,3,,0
349,1,9,2018-03-11,1,,0
350,1,10,2018-03-11,1,,0
351,1,11,2018-03-11,1,19:17:00,6
352,1,1,2018-03-12,2,,0
353,1,2,2018-03-12,2,,0
354,1,3,2018-03-12,1,,0
355,1,5,2018-03-12,1,,0
356,1,6,2018-03-12,1,,0
357,1,8,2018-03-12,1,,0
358,1,9,2018-03-12,1,,0
359,1,10,2018-03-12,1,,0
360,1,11,2018-03-12,1,,0
361,1,1,2018-03-13,2,,0
362,1,2,2018-03-13,2,,0
363,1,3,2018-03-13,1,,0
364,1,5,2018-03-13,1,,0
365,1,6,2018-03-13,1,,0
366,1,8,2018-03-13,1,,0
367,1,9,2018-03-13,1,,0
368,1,10,2018-03-13,1,,0
369,1,11,2018-03-13,1,,0
370,1,1,2018-03-14,1,,0
371,1,2,2018-03-14,2,22:48:00,1
372,1,3,2018-03-14,1,,0
373,1,5,2018-03-14,1,,0
374,1,6,2018-03-14,1,,0
375,1,8,2018-03-14,1,,0
376,1,9,2018-03-14,1,,0
377,1,10,2018-03-14,1,,0
378,1,11,2018-03-14,1,,0
379,1,1,2018-03-15,2,,0
380,1,2,2018-03-15,2,,0
381,1,3,2018-03-15,1,,0
382,1,5,2018-03-15,1,,0
383,1,6,2018-03-15,1,,0
384,1,8,2018-03-15,1,,0
385,1,9,2018-03-15,1,21:53:00,1
386,1,10,2018-03-15,1,,0
387,1,11,2018-03-15,1,,0
388,1,1,2018-03-16,2,,0
389,1,2,2018-03-16,2,,0
390,1,3,2018-03-16,1,,0
391,1,5,2018-03-16,1,,0
392,1,6,2018-03-16,1,,0
393,1,8,2018-03-16,1,,0
394,1,9,2018-03-16,1,,0
395,1,10,2018-03-16,1,,0
396,1,11,2018-03-16,1,,0
397,1,1,2018-03-17,3,,0
398,1,2,2018-03-17,4,,0
399,1,3,2018-03-17,2,,0
400,1,5,2018-03-17,2,21:41:00,2
401,1,6,2018-03-17,1,,0
402,1,8,2018-03-17,3,,0
403,1,9,2018-03-17,1,,0
404,1,10,2018-03-17,1,,0
405,1,11,2018-03-17,1,,0
406,1,1,2018-03-18,4,,0
407,1,2,2018-03-18,5,,0
408,1,3,2018-03-18,3,,0
409,1,5,2018-03-18,3,22:35:00,6
410,1,6,2018-03-18,2,,0
411,1,8,2018-03-18,3,,0
412,1,9,2018-03-18,1,,0
413,1,10,2018-03-18,1,,0
414,1,11,2018-03-18,1,20:04:00,1
415,1,1,2018-03-19,1,,0
416,1,2,2018-03-19,1,,0
417,1,3,2018-03-19,1,,0
418,1,5,2018-03-19,1,,0
419,1,6,2018-03-19,1,,0
420,1,8,2018-03-19,1,,0
421,1,9,2018-03-19,1,,0
422,1,10,2018-03-19,1,,0
423,1,11,2018-03-19,1,,0
424,1,1,2018-03-20,2,,0
425,1,2,2018-03-20,2,,0
426,1,3,2018-03-20,1,,0
427,1,5,2018-03-20,1,,0
428,1,6,2018-03-20,1,,0
429,1,8,2018-03-20,1,,0
430,1,9,2018-03-20,1,,0
431,1,10,2018-03-20,1,,0
432,1,11,2018-03-20,1,,0
433,1,1,2018-03-21,2,,0
434,1,2,2018-03-21,2,,0
435,1,3,2018-03-21,1,,0
436,1,5,2018-03-21,1,,0
437,1,6,2018-03-21,1,,0
438,1,8,2018-03-21,1,,0
439,1,9,2018-03-21,1,,0
440,1,10,2018-03-21,1,,0
441,1,11,2018-03-21,1,,0
442,1,1,2018-03-22,1,,0
443,1,2,2018-03-22,1,,0
444,1,3,2018-03-22,1,,0
445,1,5,2018-03-22,1,,0
446,1,6,2018-03-22,1,,0
447,1,8,2018-03-22,1,,0
448,1,9,2018-03-22,1,,0
449,1,10,2018-03-22,1,,0
450,1,11,2018-03-22,1,,0
451,1,1,2018-03-23,1,,0
452,1,2,2018-03-23,2,,0
453,1,3,2018-03-23,1,,0
454,1,5,2018-03-23,1,,0
455,1,6,2018-03-23,1,,0
456,1,8,2018-03-23,1,,0
457,1,9,2018-03-23,1,,0
458,1,10,2018-03-23,1,,0
459,1,11,2018-03-23,1,,0
460,1,1,2018-03-24,3,,0
461,1,2,2018-03-24,3,,0
462,1,3,2018-03-24,2,,0
463,1,5,2018-03-24,2,,0
464,1,6,2018-03-24,1,,0
465,1,8,2018-03-24,2,,0
466,1,9,2018-03-24,1,,0
467,1,10,2018-03-24,1,,0
468,1,11,2018-03-24,1,,0
469,1,1,2018-03-25,4,,0
470,1,2,2018-03-25,5,22:01:00,4
471,1,3,2018-03-25,3,,0
472,1,5,2018-03-25,3,,0
473,1,6,2018-03-25,2,,0
474,1,8,2018-03-25,3,,0
475,1,9,2018-03-25,1,,0
476,1,10,2018-03-25,1,,0
477,1,11,2018-03-25,1,,0
478,1,1,2018-03-26,1,,0
479,1,2,2018-03-26,1,,0
480,1,3,2018-03-26,1,,0
481,1,5,2018-03-26,1,,0
482,1,6,2018-03-26,1,,0
483,1,8,2018-03-26,1,,0
484,1,9,2018-03-26,1,,0
485,1,10,2018-03-26,1,,0
486,1,11,2018-03-26,1,,0
487,1,1,2018-03-27,2,,0
488,1,2,2018-03-27,2,,0
489,1,3,2018-03-27,1,,0
490,1,5,2018-03-27,1,,0
491,1,6,2018-03-27,1,,0
492,1,8,2018-03-27,1,,0
493,1,9,2018-03-27,1,,0
494,1,10,2018-03-27,1,,0
495,1,11,2018-03-27,1,,0
496,1,1,2018-03-28,1,,0
497,1,2,2018-03-28,2,,0
498,1,3,2018-03-28,1,,0
499,1,5,2018-03-28,1,,0
500,1,6,2018-03-28,1,,0
501,1,8,2018-03-28,1,,0
502,1,9,2018-03-28,1,,0
503,1,10,2018-03-28,1,,0
504,1,11,2018-03-28,1,,0
505,1,1,2018-03-29,2,,0
506,1,2,2018-03-29,2,,0
507,1,3,2018-03-29,1,,0
508,1,5,2018-03-29,1,,0
509,1,6,2018-03-29,1,,0
510,1,8,2018-03-29,1,,0
511,1,9,2018-03-29,1,,0
512,1,10,2018-03-29,1,,0
513,1,11,2018-03-29,1,,0
514,1,1,2018-03-30,1,,0
515,1,2,2018-03-30,1,,0
516,1,3,2018-03-30,1,,0
517,1,5,2018-03-30,1,,0
518,1,6,2018-03-30,1,,0
519,1,8,2018-03-30,1,,0
520,1,9,2018-03-30,1,,0
521,1,10,2018-03-30,1,,0
522,1,11,2018-03-30,1,,0
523,1,1,2018-03-31,3,,0
524,1,2,2018-03-31,3,,0
525,1,3,2018-03-31,2,,0
526,1,5,2018-03-31,2,,0
527,1,6,2018-03-31,1,,0
528,1,8,2018-03-31,2,,0
529,1,9,2018-03-31,1,,0
530,1,10,2018-03-31,1,,0
531,1,11,2018-03-31,1,,0
532,1,1,2018-04-01,4,,0
533,1,2,2018-04-01,5,,0
534,1,3,2018-04-01,3,,0
535,1,4,2018-04-01,2,19:17:00,4
536,1,5,2018-04-01,3,20:14:00,3
537,1,6,2018-04-01,2,,0
538,1,8,2018-04-01,3,,0
539,1,9,2018-04-01,1,,0
540,1,10,2018-04-01,1,,0
541,1,11,2018-04-01,1,,0
542,1,1,2018-04-02,2,,0
543,1,2,2018-04-02,2,,0
544,1,3,2018-04-02,1,,0
545,1,4,2018-04-02,1,,0
546,1,5,2018-04-02,1,,0
547,1,6,2018-04-02,1,,0
548,1,8,2018-04-02,1,,0
549,1,9,2018-04-02,1,,0
550,1,10,2018-04-02,1,,0
551,1,11,2018-04-02,1,,0
552,1,1,2018-04-03,2,,0
553,1,2,2018-04-03,2,,0
554,1,3,2018-04-03,1,,0
555,1,4,2018-04-03,1,,0
556,1,5,2018-04-03,1,,0
557,1,6,2018-04-03,1,,0
558,1,8,2018-04-03,1,,0
559,1,9,2018-04-03,1,,0
560,1,10,2018-04-03,1,,0
561,1,11,2018-04-03,1,,0
562,1,1,2018-04-04,2,,0
563,1,2,2018-04-04,2,,0
564,1,3,2018-04-04,1,,0
565,1,4,2018-04-04,1,,0
566,1,5,2018-04-04,1,,0
567,1,6,2018-04-04,1,,0
568,1,8,2018-04-04,1,,0
569,1,9,2018-04-04,1,,0
570,1,10,2018-04-04,1,,0
571,1,11,2018-04-04,1,,0
572,1,1,2018-04-05,2,,0
573,1,2,2018-04-05,2,,0
574,1,3,2018-04-05,1,,0
575,1,4,2018-04-05,1,,0
576,1,5,2018-04-05,1,,0
577,1,6,2018-04-05,1,,0
578,1,8,2018-04-05,1,,0
579,1,9,2018-04-05,1,,0
580,1,10,2018-04-05,1,,0
581,1,11,2018-04-05,1,,0
582,1,1,2018-04-06,2,,0
583,1,2,2018-04-06,2,,0
584,1,3,2018-04-06,1,,0
585,1,4,2018-04-06,1,,0
586,1,5,2018-04-06,1,,0
587,1,6,2018-04-06,1,,0
588,1,8,2018-04-06,1,,0
589,1,9,2018-04-06,1,,0
590,1,10,2018-04-06,1,,0
591,1,11,2018-04-06,1,,0
592,1,1,2018-04-07,3,21:46:00,5
593,1,2,2018-04-07,3,,0
594,1,3,2018-04-07,2,,0
595,1,4,2018-04-07,2,,0
596,1,5,2018-04-07,2,,0
597,1,6,2018-04-07,1,,0
598,1,8,2018-04-07,2,,0
599,1,9,2018-04-07,1,,0
600,1,10,2018-04-07,1,,0
601,1,11,2018-04-07,1,,0
602,1,1,2018-04-08,5,,0
603,1,2,2018-04-08,5,,0
604,1,3,2018-04-08,3,,0
605,1,4,2018-04-08,2,,0
606,1,5,2018-04-08,4,,0
607,1,6,2018-04-08,2,,0
608,1,8,2018-04-08,4,,0
609,1,9,2018-04-08,1,,0
610,1,10,2018-04-08,1,,0
611,1,11,2018-04-08,1,,0
612,1,1,2018-04-09,2,,0
613,1,2,2018-04-09,2,,0
614,1,3,2018-04-09,1,,0
615,1,4,2018-04-09,1,,0
616,1,5,2018-04-09,1,,0
617,1,6,2018-04-09,1,,0
618,1,8,2018-04-09,1,,0
619,1,9,2018-04-09,1,21:33:00,6
620,1,10,2018-04-09,1,22:40:00,4
621,1,11,2018-04-09,1,,0
622,1,1,2018-04-10,2,,0
623,1,2,2018-04-10,2,,0
624,1,3,2018-04-10,1,,0
625,1,4,2018-04-10,1,,0
626,1,5,2018-04-10,1,,0
627,1,6,2018-04-10,1,,0
628,1,8,2018-04-10,1,,0
629,1,9,2018-04-10,1,,0
630,1,10,2018-04-10,1,,0
631,1,11,2018-04-10,1,,0
632,1,1,2018-04-11,1,,0
633,1,2,2018-04-11,1,,0
634,1,3,2018-04-11,1,,0
635,1,4,2018-04-11,1,,0
636,1,5,2018-04-11,1,,0
637,1,6,2018-04-11,1,,0
638,1,8,2018-04-11,1,21:57:00,1
639,1,9,2018-04-11,1,,0
640,1,10,2018-04-11,1,,0
641,1,11,2018-04-11,1,,0
642,1,1,2018-04-12,2,,0
643,1,2,2018-04-12,2,,0
644,1,3,2018-04-12,1,,0
645,1,4,2018-04-12,1,,0
646,1,5,2018-04-12,1,,0
647,1,6,2018-04-12,1,,0
648,1,8,2018-04-12,1,,0
649,1,9,2018-04-12,1,,0
650,1,10,2018-04-12,1,,0
651,1,11,2018-04-12,1,,0
652,1,1,2018-04-13,2,,0
653,1,2,2018-04-13,2,,0
654,1,3,2018-04-13,1,,0
655,1,4,2018-04-13,1,,0
656,1,5,2018-04-13,1,,0
657,1,6,2018-04-13,1,,0
658,1,8,2018-04-13,1,,0
659,1,9,2018-04-13,1,,0
660,1,10,2018-04-13,1,,0
661,1,11,2018-04-13,1,,0
662,1,1,2018-04-14,3,,0
663,1,2,2018-04-14,4,,0
664,1,3,2018-04-14,3,,0
665,1,4,2018-04-14,2,19:54:00,4
666,1,5,2018-04-14,3,,0
667,1,6,2018-04-14,2,,0
668,1,8,2018-04-14,3,,0
669,1,9,2018-04-14,1,,0
670,1,10,2018-04-14,1,,0
671,1,11,2018-04-14,1,,0
672,1,1,2018-04-15,5,,0
673,1,2,2018-04-15,5,,0
674,1,3,2018-04-15,3,,0
675,1,4,2018-04-15,2,,0
676,1,5,2018-04-15,4,,0
677,1,6,2018-04-15,2,,0
678,1,8,2018-04-15,4,,0
679,1,9,2018-04-15,1,,0
680,1,10,2018-04-15,1,,0
681,1,11,2018-04-15,1,,0
682,1,1,2018-04-16,1,,0
683,1,2,2018-04-16,2,,0
684,1,3,2018-04-16,1,,0
685,1,4,2018-04-16,1,,0
686,1,5,2018-04-16,1,,0
687,1,6,2018-04-16,1,,0
688,1,8,2018-04-16,1,,0
689,1,9,2018-04-16,1,,0
690,1,10,2018-04-16,1,,0
691,1,11,2018-04-16,1,,0
692,1,1,2018-04-17,2,,0
693,1,2,2018-04-17,2,,0
694,1,3,2018-04-17,1,,0
695,1,4,2018-04-17,1,,0
696,1,5,2018-04-17,1,,0
697,1,6,2018-04-17,1,,0
698,1,8,2018-04-17,1,,0
699,1,9,2018-04-17,1,,0
700,1,10,2018-04-17,1,,0
701,1,11,2018-04-17,1,,0
702,1,1,2018-04-18,1,,0
703,1,2,2018-04-18,2,,0
704,1,3,2018-04-18,1,,0
705,1,4,2018-04-18,1,,0
706,1,5,2018-04-18,1,,0
707,1,6,2018-04-18,1,,0
708,1,8,2018-04-18,1,,0
709,1,9,2018-04-18,1,,0
710,1,10,2018-04-18,1,,0
711,1,11,2018-04-18,1,,0
712,1,1,2018-04-19,1,,0
713,1,2,2018-04-19,2,20:52:00,3
714,1,3,2018-04-19,1,,0
715,1,4,2018-04-19,1,,0
716,1,5,2018-04-19,1,,0
717,1,6,2018-04-19,1,,0
718,1,8,2018-04-19,1,,0
719,1,9,2018-04-19,1,,0
720,1,10,2018-04-19,1,,0
721,1,11,2018-04-19,1,,0
722,1,1,2018-04-20,2,,0
723,1,2,2018-04-20,2,,0
724,1,3,2018-04-20,1,,0
725,1,4,2018-04-20,1,,0
726,1,5,2018-04-20,1,,0
727,1,6,2018-04-20,1,,0
728,1,8,2018-04-20,1,,0
729,1,9,2018-04-20,1,,0
730,1,10,2018-04-20,1,,0
731,1,11,2018-04-20,1,,0
732,1,1,2018-04-21,3,22:53:00,2
733,1,2,2018-04-21,4,,0
734,1,3,2018-04-21,2,,0
735,1,4,2018-04-21,2,,0
736,1,5,2018-04-21,3,,0
737,1,6,2018-04-21,1,,0
738,1,8,2018-04-21,3,,0
739,1,9,2018-04-21,1,,0
740,1,10,2018-04-21,1,,0
741,1,11,2018-04-21,1,,0
742,1,1,2018-04-22,4,,0
743,1,2,2018-04-22,4,,0
744,1,3,2018-04-22,3,,0
745,1,4,2018-04-22,2,,0
746,1,5,2018-04-22,3,,0
747,1,6,2018-04-22,2,,0
748,1,8,2018-04-22,3,,0
749,1,9,2018-04-22,1,,0
750,1,10,2018-04-22,1,,0
751,1,11,2018-04-22,1,,0
752,1,1,2018-04-23,2,,0
753,1,2,2018-04-23,2,,0
754,1,3,2018-04-23,1,,0
755,1,4,2018-04-23,1,,0
756,1,5,2018-04-23,1,,0
757,1,6,2018-04-23,1,,0
758,1,8,2018-04-23,1,,0
759,1,9,2018-04-23,1,,0
760,1,10,2018-04-23,1,,0
761,1,11,2018-04-23,1,,0
762,1,1,2018-04-24,1,,0
763,1,2,2018-04-24,2,,0
764,1,3,2018-04-24,1,,0
