wastage_id,outlet_id,wastage_date,waste_type,quantity_kg,estimated_cost,reason
121,1,2018-03-03,prep_waste,0.66,92.2,pre-optimisation batch sizing
122,1,2018-03-03,unsold_cooked,0.55,71.51,pre-optimisation batch sizing
123,1,2018-03-03,spoilage,0.17,21.87,pre-optimisation batch sizing
124,1,2018-03-03,returned_order,0.02,2.63,pre-optimisation batch sizing
125,1,2018-03-04,prep_waste,1.22,137.57,pre-optimisation batch sizing
126,1,2018-03-04,unsold_cooked,0.58,72.95,pre-optimisation batch sizing
127,1,2018-03-04,spoilage,0.2,24.06,pre-optimisation batch sizing
128,1,2018-03-04,returned_order,0.59,65.79,pre-optimisation batch sizing
129,1,2018-03-05,prep_waste,1.0,124.59,pre-optimisation batch sizing
130,1,2018-03-05,unsold_cooked,0.63,71.6,pre-optimisation batch sizing
131,1,2018-03-05,spoilage,0.17,21.31,pre-optimisation batch sizing
132,1,2018-03-05,returned_order,0.02,2.59,pre-optimisation batch sizing
133,1,2018-03-06,prep_waste,1.37,160.08,pre-optimisation batch sizing
134,1,2018-03-06,unsold_cooked,0.41,60.08,pre-optimisation batch sizing
135,1,2018-03-06,spoilage,0.16,17.6,pre-optimisation batch sizing
136,1,2018-03-06,returned_order,0.02,2.78,pre-optimisation batch sizing
137,1,2018-03-07,prep_waste,0.62,74.53,pre-optimisation batch sizing
138,1,2018-03-07,unsold_cooked,0.49,61.98,pre-optimisation batch sizing
139,1,2018-03-07,spoilage,0.22,30.04,pre-optimisation batch sizing
140,1,2018-03-07,returned_order,0.02,2.72,pre-optimisation batch sizing
141,1,2018-03-08,prep_waste,0.92,115.33,pre-optimisation batch sizing
142,1,2018-03-08,unsold_cooked,0.46,57.46,pre-optimisation batch sizing
143,1,2018-03-08,spoilage,0.26,35.44,pre-optimisation batch sizing
144,1,2018-03-08,returned_order,0.83,104.16,pre-optimisation batch sizing
145,1,2018-03-09,prep_waste,0.97,143.38,pre-optimisation batch sizing
146,1,2018-03-09,unsold_cooked,0.69,95.31,pre-optimisation batch sizing
147,1,2018-03-09,spoilage,0.21,31.74,pre-optimisation batch sizing
148,1,2018-03-09,returned_order,0.02,2.57,pre-optimisation batch sizing
149,1,2018-03-10,prep_waste,0.86,109.84,pre-optimisation batch sizing
150,1,2018-03-10,unsold_cooked,0.68,103.19,pre-optimisation batch sizing
151,1,2018-03-10,spoilage,0.2,28.75,pre-optimisation batch sizing
152,1,2018-03-10,returned_order,0.51,71.86,pre-optimisation batch sizing
153,1,2018-03-11,prep_waste,0.63,76.39,pre-optimisation batch sizing
154,1,2018-03-11,unsold_cooked,0.53,60.13,pre-optimisation batch sizing
155,1,2018-03-11,spoilage,0.25,30.91,pre-optimisation batch sizing
156,1,2018-03-11,returned_order,0.02,3.0,pre-optimisation batch sizing
157,1,2018-03-12,prep_waste,0.99,142.53,pre-optimisation batch sizing
158,1,2018-03-12,unsold_cooked,0.46,49.7,pre-optimisation batch sizing
159,1,2018-03-12,spoilage,0.16,17.24,pre-optimisation batch sizing
160,1,2018-03-12,returned_order,0.02,2.61,pre-optimisation batch sizing
161,1,2018-03-13,prep_waste,1.03,116.42,pre-optimisation batch sizing
162,1,2018-03-13,unsold_cooked,0.57,69.93,pre-optimisation batch sizing
163,1,2018-03-13,spoilage,0.16,17.55,pre-optimisation batch sizing
164,1,2018-03-13,returned_order,0.02,2.56,pre-optimisation batch sizing
165,1,2018-03-14,prep_waste,1.24,161.85,pre-optimisation batch sizing
166,1,2018-03-14,unsold_cooked,0.46,62.42,pre-optimisation batch sizing
167,1,2018-03-14,spoilage,0.17,18.99,pre-optimisation batch sizing
168,1,2018-03-14,returned_order,0.02,3.08,pre-optimisation batch sizing
169,1,2018-03-15,prep_waste,1.02,110.2,pre-optimisation batch sizing
170,1,2018-03-15,unsold_cooked,0.51,53.9,pre-optimisation batch sizing
171,1,2018-03-15,spoilage,0.27,32.77,pre-optimisation batch sizing
172,1,2018-03-15,returned_order,0.02,3.02,pre-optimisation batch sizing
173,1,2018-03-16,prep_waste,1.01,125.34,pre-optimisation batch sizing
174,1,2018-03-16,unsold_cooked,0.38,47.91,pre-optimisation batch sizing
175,1,2018-03-16,spoilage,0.23,34.0,pre-optimisation batch sizing
176,1,2018-03-16,returned_order,0.02,2.6,pre-optimisation batch sizing
177,1,2018-03-17,prep_waste,0.71,84.39,pre-optimisation batch sizing
178,1,2018-03-17,unsold_cooked,0.88,120.61,pre-optimisation batch sizing
179,1,2018-03-17,spoilage,0.25,36.3,pre-optimisation batch sizing
180,1,2018-03-17,returned_order,0.02,2.39,pre-optimisation batch sizing
181,1,2018-03-18,prep_waste,0.65,75.78,pre-optimisation batch sizing
182,1,2018-03-18,unsold_cooked,0.56,82.33,pre-optimisation batch sizing
183,1,2018-03-18,spoilage,0.17,21.54,pre-optimisation batch sizing
184,1,2018-03-18,returned_order,0.02,2.36,pre-optimisation batch sizing
185,1,2018-03-19,prep_waste,1.26,156.67,pre-optimisation batch sizing
186,1,2018-03-19,unsold_cooked,0.61,78.25,pre-optimisation batch sizing
187,1,2018-03-19,spoilage,0.21,22.33,pre-optimisation batch sizing
188,1,2018-03-19,returned_order,0.02,2.43,pre-optimisation batch sizing
189,1,2018-03-20,prep_waste,0.65,92.06,pre-optimisation batch sizing
190,1,2018-03-20,unsold_cooked,0.8,99.0,pre-optimisation batch sizing
191,1,2018-03-20,spoilage,0.17,19.91,pre-optimisation batch sizing
192,1,2018-03-20,returned_order,0.02,2.92,pre-optimisation batch sizing
193,1,2018-03-21,prep_waste,1.11,120.96,pre-optimisation batch sizing
194,1,2018-03-21,unsold_cooked,0.82,86.34,pre-optimisation batch sizing
195,1,2018-03-21,spoilage,0.24,29.2,pre-optimisation batch sizing
196,1,2018-03-21,returned_order,0.76,97.33,pre-optimisation batch sizing
197,1,2018-03-22,prep_waste,1.34,165.61,pre-optimisation batch sizing
198,1,2018-03-22,unsold_cooked,0.74,112.41,pre-optimisation batch sizing
199,1,2018-03-22,spoilage,0.15,17.33,pre-optimisation batch sizing
200,1,2018-03-22,returned_order,0.02,2.83,pre-optimisation batch sizing
201,1,2018-03-23,prep_waste,1.34,147.38,pre-optimisation batch sizing
202,1,2018-03-23,unsold_cooked,0.83,117.48,pre-optimisation batch sizing
203,1,2018-03-23,spoilage,0.26,34.37,pre-optimisation batch sizing
204,1,2018-03-23,returned_order,0.02,2.86,pre-optimisation batch sizing
205,1,2018-03-24,prep_waste,0.69,74.13,pre-optimisation batch sizing
206,1,2018-03-24,unsold_cooked,0.8,113.41,pre-optimisation batch sizing
207,1,2018-03-24,spoilage,0.23,28.29,pre-optimisation batch sizing
208,1,2018-03-24,returned_order,0.02,2.89,pre-optimisation batch sizing
209,1,2018-03-25,prep_waste,0.76,95.3,pre-optimisation batch sizing
210,1,2018-03-25,unsold_cooked,0.67,101.12,pre-optimisation batch sizing
211,1,2018-03-25,spoilage,0.14,20.99,pre-optimisation batch sizing
212,1,2018-03-25,returned_order,0.59,90.11,pre-optimisation batch sizing
213,1,2018-03-26,prep_waste,0.72,100.61,pre-optimisation batch sizing
214,1,2018-03-26,unsold_cooked,0.77,87.05,pre-optimisation batch sizing
215,1,2018-03-26,spoilage,0.25,28.22,pre-optimisation batch sizing
216,1,2018-03-26,returned_order,0.02,2.8,pre-optimisation batch sizing
217,1,2018-03-27,prep_waste,1.46,214.5,pre-optimisation batch sizing
218,1,2018-03-27,unsold_cooked,0.59,90.66,pre-optimisation batch sizing
219,1,2018-03-27,spoilage,0.12,16.66,pre-optimisation batch sizing
220,1,2018-03-27,returned_order,0.02,2.4,pre-optimisation batch sizing
221,1,2018-03-28,prep_waste,0.64,94.11,pre-optimisation batch sizing
222,1,2018-03-28,unsold_cooked,0.51,60.96,pre-optimisation batch sizing
223,1,2018-03-28,spoilage,0.15,22.05,pre-optimisation batch sizing
224,1,2018-03-28,returned_order,0.02,2.3,pre-optimisation batch sizing
225,1,2018-03-29,prep_waste,0.98,119.09,pre-optimisation batch sizing
226,1,2018-03-29,unsold_cooked,0.54,57.26,pre-optimisation batch sizing
227,1,2018-03-29,spoilage,0.17,17.84,pre-optimisation batch sizing
228,1,2018-03-29,returned_order,0.02,2.37,pre-optimisation batch sizing
229,1,2018-03-30,prep_waste,1.18,125.11,pre-optimisation batch sizing
230,1,2018-03-30,unsold_cooked,0.64,74.27,pre-optimisation batch sizing
231,1,2018-03-30,spoilage,0.21,31.27,pre-optimisation batch sizing
232,1,2018-03-30,returned_order,0.02,2.78,pre-optimisation batch sizing
233,1,2018-03-31,prep_waste,0.7,103.24,pre-optimisation batch sizing
234,1,2018-03-31,unsold_cooked,0.48,69.47,pre-optimisation batch sizing
235,1,2018-03-31,spoilage,0.16,20.74,pre-optimisation batch sizing
236,1,2018-03-31,returned_order,0.02,2.29,pre-optimisation batch sizing
237,1,2018-04-01,prep_waste,1.08,130.64,pre-optimisation batch sizing
238,1,2018-04-01,unsold_cooked,0.35,50.68,pre-optimisation batch sizing
239,1,2018-04-01,spoilage,0.22,32.92,pre-optimisation batch sizing
240,1,2018-04-01,returned_order,0.86,123.27,pre-optimisation batch sizing
241,1,2018-04-02,prep_waste,1.35,150.86,pre-optimisation batch sizing
242,1,2018-04-02,unsold_cooked,0.48,56.64,pre-optimisation batch sizing
243,1,2018-04-02,spoilage,0.22,31.71,pre-optimisation batch sizing
244,1,2018-04-02,returned_order,0.59,62.59,pre-optimisation batch sizing
245,1,2018-04-03,prep_waste,1.07,127.22,pre-optimisation batch sizing
246,1,2018-04-03,unsold_cooked,0.41,52.83,pre-optimisation batch sizing
247,1,2018-04-03,spoilage,0.16,21.97,pre-optimisation batch sizing
248,1,2018-04-03,returned_order,0.02,2.53,pre-optimisation batch sizing
249,1,2018-04-04,prep_waste,0.86,120.38,pre-optimisation batch sizing
250,1,2018-04-04,unsold_cooked,0.64,77.13,pre-optimisation batch sizing
251,1,2018-04-04,spoilage,0.13,15.41,pre-optimisation batch sizing
252,1,2018-04-04,returned_order,0.02,2.43,pre-optimisation batch sizing
253,1,2018-04-05,prep_waste,1.34,204.98,pre-optimisation batch sizing
254,1,2018-04-05,unsold_cooked,0.44,59.71,pre-optimisation batch sizing
255,1,2018-04-05,spoilage,0.16,24.01,pre-optimisation batch sizing
256,1,2018-04-05,returned_order,0.02,3.0,pre-optimisation batch sizing
257,1,2018-04-06,prep_waste,0.9,97.99,pre-optimisation batch sizing
258,1,2018-04-06,unsold_cooked,0.76,115.19,pre-optimisation batch sizing
259,1,2018-04-06,spoilage,0.19,26.81,pre-optimisation batch sizing
260,1,2018-04-06,returned_order,0.62,69.0,pre-optimisation batch sizing
261,1,2018-04-07,prep_waste,1.2,143.3,pre-optimisation batch sizing
262,1,2018-04-07,unsold_cooked,0.77,90.09,pre-optimisation batch sizing
263,1,2018-04-07,spoilage,0.13,17.19,pre-optimisation batch sizing
264,1,2018-04-07,returned_order,0.02,2.25,pre-optimisation batch sizing
265,1,2018-04-08,prep_waste,1.07,127.83,pre-optimisation batch sizing
266,1,2018-04-08,unsold_cooked,0.59,88.31,pre-optimisation batch sizing
267,1,2018-04-08,spoilage,0.23,28.22,pre-optimisation batch sizing
268,1,2018-04-08,returned_order,0.02,2.51,pre-optimisation batch sizing
269,1,2018-04-09,prep_waste,0.85,112.88,pre-optimisation batch sizing
270,1,2018-04-09,unsold_cooked,0.43,50.3,pre-optimisation batch sizing
271,1,2018-04-09,spoilage,0.12,15.7,pre-optimisation batch sizing
272,1,2018-04-09,returned_order,0.02,2.4,pre-optimisation batch sizing
273,1,2018-04-10,prep_waste,0.96,113.12,pre-optimisation batch sizing
274,1,2018-04-10,unsold_cooked,0.54,59.17,pre-optimisation batch sizing
275,1,2018-04-10,spoilage,0.21,32.67,pre-optimisation batch sizing
276,1,2018-04-10,returned_order,0.61,87.2,pre-optimisation batch sizing
277,1,2018-04-11,prep_waste,0.75,109.12,pre-optimisation batch sizing
278,1,2018-04-11,unsold_cooked,0.7,98.35,pre-optimisation batch sizing
279,1,2018-04-11,spoilage,0.27,29.18,pre-optimisation batch sizing
280,1,2018-04-11,returned_order,0.02,2.44,pre-optimisation batch sizing
281,1,2018-04-12,prep_waste,0.86,125.8,pre-optimisation batch sizing
282,1,2018-04-12,unsold_cooked,0.55,78.27,pre-optimisation batch sizing
283,1,2018-04-12,spoilage,0.19,23.56,pre-optimisation batch sizing
284,1,2018-04-12,returned_order,0.02,2.32,pre-optimisation batch sizing
285,1,2018-04-13,prep_waste,1.23,177.99,pre-optimisation batch sizing
286,1,2018-04-13,unsold_cooked,0.58,88.82,pre-optimisation batch sizing
287,1,2018-04-13,spoilage,0.19,24.77,pre-optimisation batch sizing
288,1,2018-04-13,returned_order,0.02,2.88,pre-optimisation batch sizing
289,1,2018-04-14,prep_waste,1.48,213.05,pre-optimisation batch sizing
290,1,2018-04-14,unsold_cooked,0.88,130.23,pre-optimisation batch sizing
291,1,2018-04-14,spoilage,0.15,16.39,pre-optimisation batch sizing
292,1,2018-04-14,returned_order,0.02,2.24,pre-optimisation batch sizing
293,1,2018-04-15,prep_waste,0.66,97.24,pre-optimisation batch sizing
294,1,2018-04-15,unsold_cooked,0.79,121.35,pre-optimisation batch sizing
295,1,2018-04-15,spoilage,0.16,24.53,pre-optimisation batch sizing
296,1,2018-04-15,returned_order,0.02,2.34,pre-optimisation batch sizing
297,1,2018-04-16,prep_waste,1.16,160.99,pre-optimisation batch sizing
298,1,2018-04-16,unsold_cooked,0.81,107.84,pre-optimisation batch sizing
299,1,2018-04-16,spoilage,0.19,29.72,pre-optimisation batch sizing
300,1,2018-04-16,returned_order,0.02,2.11,pre-optimisation batch sizing
301,1,2018-04-17,prep_waste,1.01,121.06,pre-optimisation batch sizing
302,1,2018-04-17,unsold_cooked,0.34,41.56,pre-optimisation batch sizing
303,1,2018-04-17,spoilage,0.18,20.99,pre-optimisation batch sizing
304,1,2018-04-17,returned_order,0.02,2.14,pre-optimisation batch sizing
305,1,2018-04-18,prep_waste,0.86,122.99,pre-optimisation batch sizing
306,1,2018-04-18,unsold_cooked,0.82,101.63,pre-optimisation batch sizing
307,1,2018-04-18,spoilage,0.2,20.51,pre-optimisation batch sizing
308,1,2018-04-18,returned_order,1.19,124.76,pre-optimisation batch sizing
309,1,2018-04-19,prep_waste,0.74,92.61,pre-optimisation batch sizing
310,1,2018-04-19,unsold_cooked,0.7,103.55,pre-optimisation batch sizing
311,1,2018-04-19,spoilage,0.25,33.26,pre-optimisation batch sizing
312,1,2018-04-19,returned_order,0.02,2.68,pre-optimisation batch sizing
313,1,2018-04-20,prep_waste,0.86,114.61,pre-optimisation batch sizing
314,1,2018-04-20,unsold_cooked,0.57,63.85,pre-optimisation batch sizing
315,1,2018-04-20,spoilage,0.15,17.89,pre-optimisation batch sizing
316,1,2018-04-20,returned_order,0.7,76.59,pre-optimisation batch sizing
317,1,2018-04-21,prep_waste,0.92,136.24,pre-optimisation batch sizing
318,1,2018-04-21,unsold_cooked,0.79,108.49,pre-optimisation batch sizing
319,1,2018-04-21,spoilage,0.18,22.94,pre-optimisation batch sizing
320,1,2018-04-21,returned_order,0.84,129.87,pre-optimisation batch sizing
321,1,2018-04-22,prep_waste,0.85,112.19,pre-optimisation batch sizing
322,1,2018-04-22,unsold_cooked,0.79,110.92,pre-optimisation batch sizing
323,1,2018-04-22,spoilage,0.12,17.11,pre-optimisation batch sizing
324,1,2018-04-22,returned_order,0.02,2.24,pre-optimisation batch sizing
325,1,2018-04-23,prep_waste,0.63,95.69,pre-optimisation batch sizing
326,1,2018-04-23,unsold_cooked,0.66,87.84,pre-optimisation batch sizing
327,1,2018-04-23,spoilage,0.18,24.37,pre-optimisation batch sizing
328,1,2018-04-23,returned_order,0.02,2.42,pre-optimisation batch sizing
329,1,2018-04-24,prep_waste,1.22,179.74,pre-optimisation batch sizing
330,1,2018-04-24,unsold_cooked,0.46,49.37,pre-optimisation batch sizing
331,1,2018-04-24,spoilage,0.18,18.93,pre-optimisation batch sizing
332,1,2018-04-24,returned_order,0.02,2.27,pre-optimisation batch sizing
333,1,2018-04-25,prep_waste,1.46,214.35,pre-optimisation batch sizing
334,1,2018-04-25,unsold_cooked,0.52,75.76,pre-optimisation batch sizing
335,1,2018-04-25,spoilage,0.19,26.34,pre-optimisation batch sizing
336,1,2018-04-25,returned_order,0.02,2.62,pre-optimisation batch sizing
337,1,2018-04-26,prep_waste,1.5,179.39,pre-optimisation batch sizing
338,1,2018-04-26,unsold_cooked,0.38,46.0,pre-optimisation batch sizing
339,1,2018-04-26,spoilage,0.24,30.8,pre-optimisation batch sizing
340,1,2018-04-26,returned_order,0.61,78.07,pre-optimisation batch sizing
341,1,2018-04-27,prep_waste,0.63,65.95,pre-optimisation batch sizing
342,1,2018-04-27,unsold_cooked,0.63,70.17,pre-optimisation batch sizing
343,1,2018-04-27,spoilage,0.19,28.12,pre-optimisation batch sizing
344,1,2018-04-27,returned_order,0.02,2.62,pre-optimisation batch sizing
345,1,2018-04-28,prep_waste,0.61,68.04,pre-optimisation batch sizing
346,1,2018-04-28,unsold_cooked,0.37,46.95,pre-optimisation batch sizing
347,1,2018-04-28,spoilage,0.25,33.02,pre-optimisation batch sizing
348,1,2018-04-28,returned_order,0.02,2.86,pre-optimisation batch sizing
349,1,2018-04-29,prep_waste,0.89,111.78,pre-optimisation batch sizing
350,1,2018-04-29,unsold_cooked,0.85,129.66,pre-optimisation batch sizing
351,1,2018-04-29,spoilage,0.13,16.03,pre-optimisation batch sizing
352,1,2018-04-29,returned_order,0.51,60.61,pre-optimisation batch sizing
353,1,2018-04-30,prep_waste,0.82,91.24,pre-optimisation batch sizing
354,1,2018-04-30,unsold_cooked,0.75,112.48,pre-optimisation batch sizing
355,1,2018-04-30,spoilage,0.27,33.62,pre-optimisation batch sizing
356,1,2018-04-30,returned_order,0.02,2.6,pre-optimisation batch sizing
357,1,2018-05-01,prep_waste,0.66,74.09,pre-optimisation batch sizing
358,1,2018-05-01,unsold_cooked,0.64,84.85,pre-optimisation batch sizing
359,1,2018-05-01,spoilage,0.24,35.58,pre-optimisation batch sizing
360,1,2018-05-01,returned_order,0.02,2.91,pre-optimisation batch sizing
361,1,2018-05-02,prep_waste,1.26,136.15,pre-optimisation batch sizing
362,1,2018-05-02,unsold_cooked,0.57,64.44,pre-optimisation batch sizing
363,1,2018-05-02,spoilage,0.19,28.41,pre-optimisation batch sizing
364,1,2018-05-02,returned_order,0.02,2.8,pre-optimisation batch sizing
365,1,2018-05-03,prep_waste,1.02,132.81,pre-optimisation batch sizing
366,1,2018-05-03,unsold_cooked,0.35,42.37,pre-optimisation batch sizing
