expense_id,outlet_id,expense_month,expense_category,amount,cost_behaviour
84,1,2018-11-01,utilities,5000.0,semi_variable
85,1,2018-11-01,gas_consumables,4000.0,semi_variable
86,1,2018-11-01,procurement_travel,6000,semi_variable
87,1,2018-11-01,repairs,578.33,fixed
88,1,2018-11-01,packaging_extra,898.42,variable
89,1,2018-11-01,advertising,7220.44,variable
90,,2018-11-01,compliance,1200,fixed
91,1,2018-12-01,staff,40000.0,semi_variable
92,1,2018-12-01,rent,10000,fixed
93,1,2018-12-01,utilities,5000.0,semi_variable
94,1,2018-12-01,gas_consumables,4000.0,semi_variable
95,1,2018-12-01,procurement_travel,6000,semi_variable
96,1,2018-12-01,repairs,821.05,fixed
97,1,2018-12-01,packaging_extra,972.59,variable
98,1,2018-12-01,advertising,8044.12,variable
99,,2018-12-01,compliance,1200,fixed
100,1,2019-01-01,staff,40000.0,semi_variable
101,1,2019-01-01,rent,10000,fixed
102,1,2019-01-01,utilities,5000.0,semi_variable
103,1,2019-01-01,gas_consumables,4000.0,semi_variable
104,1,2019-01-01,procurement_travel,6000,semi_variable
105,1,2019-01-01,repairs,1905.53,fixed
106,1,2019-01-01,packaging_extra,810.59,variable
107,1,2019-01-01,advertising,8333.09,variable
108,,2019-01-01,compliance,1200,fixed
109,1,2019-02-01,staff,40000.0,semi_variable
110,1,2019-02-01,rent,10000,fixed
111,1,2019-02-01,utilities,5000.0,semi_variable
112,1,2019-02-01,gas_consumables,4000.0,semi_variable
113,1,2019-02-01,procurement_travel,6000,semi_variable
114,1,2019-02-01,repairs,1076.4,fixed
115,1,2019-02-01,packaging_extra,714.66,variable
116,1,2019-02-01,advertising,7648.19,variable
117,,2019-02-01,compliance,1200,fixed
118,1,2019-03-01,staff,40000.0,semi_variable
119,1,2019-03-01,rent,10000,fixed
120,1,2019-03-01,utilities,5000.0,semi_variable
121,1,2019-03-01,gas_consumables,4000.0,semi_variable
122,1,2019-03-01,procurement_travel,6000,semi_variable
123,1,2019-03-01,repairs,1490.99,fixed
124,1,2019-03-01,packaging_extra,740.08,variable
125,1,2019-03-01,advertising,8806.08,variable
126,,2019-03-01,compliance,1200,fixed
127,1,2019-04-01,staff,40000.0,semi_variable
128,1,2019-04-01,rent,10000,fixed
129,1,2019-04-01,utilities,5000.0,semi_variable
130,1,2019-04-01,gas_consumables,4000.0,semi_variable
131,1,2019-04-01,procurement_travel,6000,semi_variable
132,1,2019-04-01,repairs,1605.61,fixed
133,1,2019-04-01,packaging_extra,997.21,variable
134,1,2019-04-01,advertising,8288.11,variable
135,,2019-04-01,compliance,1200,fixed
136,1,2019-05-01,staff,40000.0,semi_variable
137,1,2019-05-01,rent,10000,fixed
138,1,2019-05-01,utilities,5000.0,semi_variable
139,1,2019-05-01,gas_consumables,4000.0,semi_variable
140,1,2019-05-01,procurement_travel,6000,semi_variable
141,1,2019-05-01,repairs,1219.23,fixed
142,1,2019-05-01,packaging_extra,1193.48,variable
143,1,2019-05-01,advertising,7821.29,variable
144,,2019-05-01,compliance,1200,fixed
145,1,2019-06-01,staff,40000.0,semi_variable
146,1,2019-06-01,rent,10000,fixed
147,1,2019-06-01,utilities,5000.0,semi_variable
148,1,2019-06-01,gas_consumables,4000.0,semi_variable
149,1,2019-06-01,procurement_travel,6000,semi_variable
150,1,2019-06-01,repairs,1181.17,fixed
151,1,2019-06-01,packaging_extra,796.7,variable
152,1,2019-06-01,advertising,7750.79,variable
153,,2019-06-01,compliance,1200,fixed
154,,2019-06-01,founder_drawings,20000,fixed
155,1,2019-07-01,staff,40000.0,semi_variable
156,1,2019-07-01,rent,10000,fixed
157,1,2019-07-01,utilities,5000.0,semi_variable
158,1,2019-07-01,gas_consumables,4000.0,semi_variable
159,1,2019-07-01,procurement_travel,6000,semi_variable
160,1,2019-07-01,repairs,960.0,fixed
161,1,2019-07-01,packaging_extra,1175.63,variable
162,1,2019-07-01,advertising,8325.96,variable
163,2,2019-07-01,staff,33000.0,semi_variable
164,2,2019-07-01,rent,15000,fixed
165,2,2019-07-01,utilities,5000.0,semi_variable
166,2,2019-07-01,gas_consumables,3000.0,semi_variable
167,2,2019-07-01,procurement_travel,4000,semi_variable
168,2,2019-07-01,repairs,1459.21,fixed
169,2,2019-07-01,packaging_extra,1128.07,variable
170,2,2019-07-01,advertising,2243.49,variable
171,,2019-07-01,compliance,1200,fixed
172,,2019-07-01,kitchen_rent,15000,fixed
173,,2019-07-01,founder_drawings,20000,fixed
174,1,2019-08-01,staff,40000.0,semi_variable
175,1,2019-08-01,rent,10000,fixed
176,1,2019-08-01,utilities,5000.0,semi_variable
177,1,2019-08-01,gas_consumables,4000.0,semi_variable
178,1,2019-08-01,procurement_travel,6000,semi_variable
179,1,2019-08-01,repairs,1088.43,fixed
180,1,2019-08-01,packaging_extra,870.59,variable
181,1,2019-08-01,advertising,8617.0,variable
182,2,2019-08-01,staff,33000.0,semi_variable
183,2,2019-08-01,rent,15000,fixed
184,2,2019-08-01,utilities,5000.0,semi_variable
185,2,2019-08-01,gas_consumables,3000.0,semi_variable
186,2,2019-08-01,procurement_travel,4000,semi_variable
187,2,2019-08-01,repairs,579.76,fixed
188,2,2019-08-01,packaging_extra,791.77,variable
189,2,2019-08-01,advertising,2600.27,variable
190,,2019-08-01,compliance,1200,fixed
191,,2019-08-01,kitchen_rent,15000,fixed
192,,2019-08-01,founder_drawings,20000,fixed
193,1,2019-09-01,staff,40000.0,semi_variable
194,1,2019-09-01,rent,10000,fixed
195,1,2019-09-01,utilities,5000.0,semi_variable
196,1,2019-09-01,gas_consumables,4000.0,semi_variable
197,1,2019-09-01,procurement_travel,6000,semi_variable
198,1,2019-09-01,repairs,1895.04,fixed
199,1,2019-09-01,packaging_extra,841.92,variable
200,1,2019-09-01,advertising,8708.75,variable
201,2,2019-09-01,staff,33000.0,semi_variable
202,2,2019-09-01,rent,15000,fixed
203,2,2019-09-01,utilities,5000.0,semi_variable
204,2,2019-09-01,gas_consumables,3000.0,semi_variable
205,2,2019-09-01,procurement_travel,4000,semi_variable
206,2,2019-09-01,repairs,1323.58,fixed
207,2,2019-09-01,packaging_extra,1060.17,variable
208,2,2019-09-01,advertising,2878.53,variable
209,,2019-09-01,compliance,1200,fixed
210,,2019-09-01,kitchen_rent,15000,fixed
211,,2019-09-01,founder_drawings,20000,fixed
212,1,2019-10-01,staff,40000.0,semi_variable
213,1,2019-10-01,rent,10000,fixed
214,1,2019-10-01,utilities,5000.0,semi_variable
215,1,2019-10-01,gas_consumables,4000.0,semi_variable
216,1,2019-10-01,procurement_travel,6000,semi_variable
217,1,2019-10-01,repairs,1382.31,fixed
218,1,2019-10-01,packaging_extra,1104.76,variable
219,1,2019-10-01,advertising,9033.75,variable
220,2,2019-10-01,staff,30000.0,semi_variable
221,2,2019-10-01,rent,15000,fixed
222,2,2019-10-01,utilities,5000.0,semi_variable
223,2,2019-10-01,gas_consumables,3000.0,semi_variable
224,2,2019-10-01,procurement_travel,4000,semi_variable
225,2,2019-10-01,repairs,449.3,fixed
226,2,2019-10-01,packaging_extra,1150.02,variable
227,2,2019-10-01,advertising,3640.88,variable
228,,2019-10-01,compliance,1200,fixed
229,,2019-10-01,kitchen_rent,15000,fixed
230,,2019-10-01,founder_drawings,20000,fixed
231,1,2019-11-01,staff,40000.0,semi_variable
232,1,2019-11-01,rent,10000,fixed
233,1,2019-11-01,utilities,5000.0,semi_variable
234,1,2019-11-01,gas_consumables,4000.0,semi_variable
235,1,2019-11-01,procurement_travel,6000,semi_variable
236,1,2019-11-01,repairs,981.34,fixed
237,1,2019-11-01,packaging_extra,821.31,variable
238,1,2019-11-01,advertising,8555.65,variable
239,2,2019-11-01,staff,30000.0,semi_variable
240,2,2019-11-01,rent,15000,fixed
241,2,2019-11-01,utilities,5000.0,semi_variable
242,2,2019-11-01,gas_consumables,3000.0,semi_variable
243,2,2019-11-01,procurement_travel,4000,semi_variable
244,2,2019-11-01,repairs,1011.96,fixed
245,2,2019-11-01,packaging_extra,1013.91,variable
246,2,2019-11-01,advertising,3782.31,variable
247,,2019-11-01,compliance,1200,fixed
248,,2019-11-01,kitchen_rent,15000,fixed
249,,2019-11-01,founder_drawings,20000,fixed
250,1,2019-12-01,staff,40000.0,semi_variable
251,1,2019-12-01,rent,10000,fixed
252,1,2019-12-01,utilities,5000.0,semi_variable
253,1,2019-12-01,gas_consumables,4000.0,semi_variable
254,1,2019-12-01,procurement_travel,6000,semi_variable
255,1,2019-12-01,repairs,539.68,fixed
256,1,2019-12-01,packaging_extra,1034.61,variable
257,1,2019-12-01,advertising,16313.75,variable
258,2,2019-12-01,staff,30000.0,semi_variable
259,2,2019-12-01,rent,15000,fixed
260,2,2019-12-01,utilities,5000.0,semi_variable
261,2,2019-12-01,gas_consumables,3000.0,semi_variable
262,2,2019-12-01,procurement_travel,4000,semi_variable
263,2,2019-12-01,repairs,337.67,fixed
264,2,2019-12-01,packaging_extra,784.68,variable
265,2,2019-12-01,advertising,7356.45,variable
266,,2019-12-01,compliance,1200,fixed
267,,2019-12-01,kitchen_rent,15000,fixed
268,,2019-12-01,founder_drawings,20000,fixed
269,1,2020-01-01,staff,40000.0,semi_variable
270,1,2020-01-01,rent,10000,fixed
271,1,2020-01-01,utilities,5000.0,semi_variable
272,1,2020-01-01,gas_consumables,4000.0,semi_variable
273,1,2020-01-01,procurement_travel,6000,semi_variable
274,1,2020-01-01,repairs,1370.56,fixed
275,1,2020-01-01,packaging_extra,1027.51,variable
276,1,2020-01-01,advertising,18430.98,variable
277,2,2020-01-01,staff,30000.0,semi_variable
278,2,2020-01-01,rent,15000,fixed
279,2,2020-01-01,utilities,5000.0,semi_variable
280,2,2020-01-01,gas_consumables,3000.0,semi_variable
281,2,2020-01-01,procurement_travel,4000,semi_variable
282,2,2020-01-01,repairs,752.5,fixed
283,2,2020-01-01,packaging_extra,821.7,variable
284,2,2020-01-01,advertising,10182.4,variable
285,,2020-01-01,compliance,1200,fixed
286,,2020-01-01,kitchen_rent,15000,fixed
287,,2020-01-01,founder_drawings,20000,fixed
288,1,2020-02-01,staff,40000.0,semi_variable
289,1,2020-02-01,rent,10000,fixed
290,1,2020-02-01,utilities,5000.0,semi_variable
291,1,2020-02-01,gas_consumables,4000.0,semi_variable
292,1,2020-02-01,procurement_travel,6000,semi_variable
293,1,2020-02-01,repairs,919.85,fixed
294,1,2020-02-01,packaging_extra,1102.52,variable
295,1,2020-02-01,advertising,17864.18,variable
296,2,2020-02-01,staff,30000.0,semi_variable
297,2,2020-02-01,rent,15000,fixed
298,2,2020-02-01,utilities,5000.0,semi_variable
299,2,2020-02-01,gas_consumables,3000.0,semi_variable
300,2,2020-02-01,procurement_travel,4000,semi_variable
301,2,2020-02-01,repairs,635.58,fixed
302,2,2020-02-01,packaging_extra,972.31,variable
303,2,2020-02-01,advertising,10893.01,variable
304,,2020-02-01,compliance,1200,fixed
305,,2020-02-01,kitchen_rent,15000,fixed
306,,2020-02-01,founder_drawings,20000,fixed
307,1,2020-03-01,staff,22000.0,semi_variable
308,1,2020-03-01,rent,10000,fixed
309,1,2020-03-01,utilities,4000.0,semi_variable
310,1,2020-03-01,gas_consumables,2000.0,semi_variable
311,1,2020-03-01,procurement_travel,6000,semi_variable
312,1,2020-03-01,repairs,609.88,fixed
313,1,2020-03-01,packaging_extra,1227.58,variable
314,1,2020-03-01,advertising,2618.63,variable
315,2,2020-03-01,staff,16500.0,semi_variable
316,2,2020-03-01,rent,15000,fixed
317,2,2020-03-01,utilities,4000.0,semi_variable
318,2,2020-03-01,gas_consumables,1500.0,semi_variable
319,2,2020-03-01,procurement_travel,4000,semi_variable
320,2,2020-03-01,repairs,905.15,fixed
321,2,2020-03-01,packaging_extra,862.62,variable
322,2,2020-03-01,advertising,1522.49,variable
323,,2020-03-01,compliance,1200,fixed
324,,2020-03-01,kitchen_rent,15000,fixed
325,,2020-03-01,founder_drawings,20000,fixed
326,1,2020-04-01,staff,22000.0,semi_variable
327,1,2020-04-01,rent,10000,fixed
328,1,2020-04-01,utilities,4000.0,semi_variable
329,1,2020-04-01,gas_consumables,2000.0,semi_variable
330,1,2020-04-01,procurement_travel,6000,semi_variable
331,1,2020-04-01,repairs,898.39,fixed
332,1,2020-04-01,packaging_extra,863.62,variable
333,1,2020-04-01,advertising,579.34,variable
334,2,2020-04-01,staff,16500.0,semi_variable
335,2,2020-04-01,rent,15000,fixed
336,2,2020-04-01,utilities,4000.0,semi_variable
337,2,2020-04-01,gas_consumables,1500.0,semi_variable
338,2,2020-04-01,procurement_travel,4000,semi_variable
339,2,2020-04-01,repairs,1350.14,fixed
340,2,2020-04-01,packaging_extra,1216.26,variable
341,2,2020-04-01,advertising,366.29,variable
342,,2020-04-01,compliance,1200,fixed
343,,2020-04-01,kitchen_rent,15000,fixed
344,,2020-04-01,founder_drawings,20000,fixed
345,1,2020-05-01,staff,22000.0,semi_variable
346,1,2020-05-01,rent,10000,fixed
347,1,2020-05-01,utilities,4000.0,semi_variable
348,1,2020-05-01,gas_consumables,2000.0,semi_variable
349,1,2020-05-01,procurement_travel,6000,semi_variable
350,1,2020-05-01,repairs,1564.25,fixed
351,1,2020-05-01,packaging_extra,1249.84,variable
352,1,2020-05-01,advertising,781.02,variable
353,2,2020-05-01,staff,16500.0,semi_variable
354,2,2020-05-01,rent,15000,fixed
355,2,2020-05-01,utilities,4000.0,semi_variable
356,2,2020-05-01,gas_consumables,1500.0,semi_variable
357,2,2020-05-01,procurement_travel,4000,semi_variable
358,2,2020-05-01,repairs,767.29,fixed
359,2,2020-05-01,packaging_extra,909.87,variable
360,2,2020-05-01,advertising,492.81,variable
361,,2020-05-01,compliance,1200,fixed
362,,2020-05-01,kitchen_rent,15000,fixed
363,,2020-05-01,founder_drawings,20000,fixed
364,1,2020-06-01,staff,31200.0,semi_variable
365,1,2020-06-01,rent,10000,fixed
366,1,2020-06-01,utilities,5000.0,semi_variable
367,1,2020-06-01,gas_consumables,4000.0,semi_variable
368,1,2020-06-01,procurement_travel,6000,semi_variable
369,1,2020-06-01,repairs,937.36,fixed
370,1,2020-06-01,packaging_extra,768.56,variable
371,1,2020-06-01,advertising,3671.2,variable
372,2,2020-06-01,staff,23400.0,semi_variable
373,2,2020-06-01,rent,15000,fixed
374,2,2020-06-01,utilities,5000.0,semi_variable
375,2,2020-06-01,gas_consumables,3000.0,semi_variable
376,2,2020-06-01,procurement_travel,4000,semi_variable
377,2,2020-06-01,repairs,327.52,fixed
378,2,2020-06-01,packaging_extra,1195.85,variable
379,2,2020-06-01,advertising,2263.15,variable
380,,2020-06-01,compliance,1200,fixed
381,,2020-06-01,kitchen_rent,15000,fixed
382,,2020-06-01,founder_drawings,20000,fixed
383,1,2020-07-01,staff,31200.0,semi_variable
384,1,2020-07-01,rent,10000,fixed
385,1,2020-07-01,utilities,5000.0,semi_variable
386,1,2020-07-01,gas_consumables,4000.0,semi_variable
387,1,2020-07-01,procurement_travel,6000,semi_variable
388,1,2020-07-01,repairs,1842.36,fixed
389,1,2020-07-01,packaging_extra,1077.8,variable
390,1,2020-07-01,advertising,6235.06,variable
391,2,2020-07-01,staff,23400.0,semi_variable
392,2,2020-07-01,rent,15000,fixed
393,2,2020-07-01,utilities,5000.0,semi_variable
394,2,2020-07-01,gas_consumables,3000.0,semi_variable
395,2,2020-07-01,procurement_travel,4000,semi_variable
396,2,2020-07-01,repairs,1541.05,fixed
397,2,2020-07-01,packaging_extra,878.06,variable
398,2,2020-07-01,advertising,3449.48,variable
399,,2020-07-01,compliance,1200,fixed
400,,2020-07-01,kitchen_rent,15000,fixed
401,,2020-07-01,founder_drawings,20000,fixed
402,1,2020-08-01,staff,31200.0,semi_variable
403,1,2020-08-01,rent,10000,fixed
404,1,2020-08-01,utilities,5000.0,semi_variable
405,1,2020-08-01,gas_consumables,4000.0,semi_variable
406,1,2020-08-01,procurement_travel,6000,semi_variable
407,1,2020-08-01,repairs,1080.99,fixed
408,1,2020-08-01,packaging_extra,714.25,variable
409,1,2020-08-01,advertising,7786.28,variable
410,2,2020-08-01,staff,23400.0,semi_variable
411,2,2020-08-01,rent,15000,fixed
412,2,2020-08-01,utilities,5000.0,semi_variable
413,2,2020-08-01,gas_consumables,3000.0,semi_variable
414,2,2020-08-01,procurement_travel,4000,semi_variable
415,2,2020-08-01,repairs,1218.68,fixed
416,2,2020-08-01,packaging_extra,715.86,variable
417,2,2020-08-01,advertising,4343.08,variable
418,3,2020-08-01,staff,27500.0,semi_variable
419,3,2020-08-01,rent,12000,fixed
420,3,2020-08-01,utilities,5000.0,semi_variable
421,3,2020-08-01,gas_consumables,3000.0,semi_variable
422,3,2020-08-01,procurement_travel,4000,semi_variable
423,3,2020-08-01,repairs,1035.26,fixed
424,3,2020-08-01,packaging_extra,1180.96,variable
425,3,2020-08-01,advertising,1283.29,variable
426,,2020-08-01,compliance,1200,fixed
427,,2020-08-01,kitchen_rent,15000,fixed
428,,2020-08-01,founder_drawings,20000,fixed
429,1,2020-09-01,staff,31200.0,semi_variable
430,1,2020-09-01,rent,10000,fixed
431,1,2020-09-01,utilities,5000.0,semi_variable
432,1,2020-09-01,gas_consumables,4000.0,semi_variable
433,1,2020-09-01,procurement_travel,6000,semi_variable
434,1,2020-09-01,repairs,872.86,fixed
435,1,2020-09-01,packaging_extra,829.49,variable
436,1,2020-09-01,advertising,8481.88,variable
437,2,2020-09-01,staff,23400.0,semi_variable
438,2,2020-09-01,rent,15000,fixed
439,2,2020-09-01,utilities,5000.0,semi_variable
440,2,2020-09-01,gas_consumables,3000.0,semi_variable
441,2,2020-09-01,procurement_travel,4000,semi_variable
442,2,2020-09-01,repairs,1114.56,fixed
443,2,2020-09-01,packaging_extra,1013.39,variable
444,2,2020-09-01,advertising,4919.97,variable
445,3,2020-09-01,staff,27500.0,semi_variable
446,3,2020-09-01,rent,12000,fixed
447,3,2020-09-01,utilities,5000.0,semi_variable
448,3,2020-09-01,gas_consumables,3000.0,semi_variable
449,3,2020-09-01,procurement_travel,4000,semi_variable
450,3,2020-09-01,repairs,1660.03,fixed
451,3,2020-09-01,packaging_extra,791.29,variable
452,3,2020-09-01,advertising,1353.53,variable
453,,2020-09-01,compliance,1200,fixed
454,,2020-09-01,kitchen_rent,15000,fixed
455,,2020-09-01,founder_drawings,20000,fixed
456,1,2020-10-01,staff,36800.0,semi_variable
457,1,2020-10-01,rent,10000,fixed
458,1,2020-10-01,utilities,5000.0,semi_variable
459,1,2020-10-01,gas_consumables,4000.0,semi_variable
460,1,2020-10-01,procurement_travel,6000,semi_variable
461,1,2020-10-01,repairs,739.11,fixed
462,1,2020-10-01,packaging_extra,1245.69,variable
463,1,2020-10-01,advertising,7789.68,variable
464,2,2020-10-01,staff,27600.0,semi_variable
465,2,2020-10-01,rent,15000,fixed
466,2,2020-10-01,utilities,5000.0,semi_variable
467,2,2020-10-01,gas_consumables,3000.0,semi_variable
468,2,2020-10-01,procurement_travel,4000,semi_variable
469,2,2020-10-01,repairs,626.61,fixed
470,2,2020-10-01,packaging_extra,728.15,variable
471,2,2020-10-01,advertising,4416.11,variable
472,3,2020-10-01,staff,27500.0,semi_variable
473,3,2020-10-01,rent,12000,fixed
474,3,2020-10-01,utilities,5000.0,semi_variable
475,3,2020-10-01,gas_consumables,3000.0,semi_variable
476,3,2020-10-01,procurement_travel,4000,semi_variable
477,3,2020-10-01,repairs,1289.03,fixed
478,3,2020-10-01,packaging_extra,808.51,variable
479,3,2020-10-01,advertising,1196.61,variable
480,,2020-10-01,compliance,1200,fixed
481,,2020-10-01,kitchen_rent,15000,fixed
482,,2020-10-01,founder_drawings,20000,fixed
483,1,2020-11-01,staff,36800.0,semi_variable
484,1,2020-11-01,rent,10000,fixed
485,1,2020-11-01,utilities,5000.0,semi_variable
486,1,2020-11-01,gas_consumables,4000.0,semi_variable
487,1,2020-11-01,procurement_travel,6000,semi_variable
488,1,2020-11-01,repairs,1062.19,fixed
489,1,2020-11-01,packaging_extra,1278.25,variable
490,1,2020-11-01,advertising,7594.93,variable
491,2,2020-11-01,staff,27600.0,semi_variable
492,2,2020-11-01,rent,15000,fixed
493,2,2020-11-01,utilities,5000.0,semi_variable
494,2,2020-11-01,gas_consumables,3000.0,semi_variable
495,2,2020-11-01,procurement_travel,4000,semi_variable
496,2,2020-11-01,repairs,832.73,fixed
497,2,2020-11-01,packaging_extra,734.97,variable
498,2,2020-11-01,advertising,4516.9,variable
499,3,2020-11-01,staff,23000.0,semi_variable
500,3,2020-11-01,rent,12000,fixed
501,3,2020-11-01,utilities,5000.0,semi_variable
502,3,2020-11-01,gas_consumables,3000.0,semi_variable
503,3,2020-11-01,procurement_travel,4000,semi_variable
504,3,2020-11-01,repairs,1326.41,fixed
505,3,2020-11-01,packaging_extra,1209.33,variable
506,3,2020-11-01,advertising,1474.03,variable
507,,2020-11-01,compliance,1200,fixed
508,,2020-11-01,kitchen_rent,15000,fixed
509,,2020-11-01,founder_drawings,20000,fixed
510,1,2020-12-01,staff,36800.0,semi_variable
511,1,2020-12-01,rent,10000,fixed
512,1,2020-12-01,utilities,5000.0,semi_variable
513,1,2020-12-01,gas_consumables,4000.0,semi_variable
514,1,2020-12-01,procurement_travel,6000,semi_variable
515,1,2020-12-01,repairs,2135.45,fixed
516,1,2020-12-01,packaging_extra,1207.21,variable
517,1,2020-12-01,advertising,7589.63,variable
518,2,2020-12-01,staff,27600.0,semi_variable
519,2,2020-12-01,rent,15000,fixed
520,2,2020-12-01,utilities,5000.0,semi_variable
521,2,2020-12-01,gas_consumables,3000.0,semi_variable
522,2,2020-12-01,procurement_travel,4000,semi_variable
523,2,2020-12-01,repairs,918.62,fixed
524,2,2020-12-01,packaging_extra,1239.66,variable
525,2,2020-12-01,advertising,4495.45,variable
526,3,2020-12-01,staff,23000.0,semi_variable
527,3,2020-12-01,rent,12000,fixed
528,3,2020-12-01,utilities,5000.0,semi_variable
529,3,2020-12-01,gas_consumables,3000.0,semi_variable
530,3,2020-12-01,procurement_travel,4000,semi_variable
531,3,2020-12-01,repairs,791.46,fixed
532,3,2020-12-01,packaging_extra,1040.18,variable
533,3,2020-12-01,advertising,1582.16,variable
534,,2020-12-01,compliance,1200,fixed
535,,2020-12-01,kitchen_rent,15000,fixed
536,,2020-12-01,founder_drawings,20000,fixed
537,1,2021-01-01,staff,36800.0,semi_variable
538,1,2021-01-01,rent,10000,fixed
539,1,2021-01-01,utilities,5000.0,semi_variable
540,1,2021-01-01,gas_consumables,4000.0,semi_variable
541,1,2021-01-01,procurement_travel,6900.0,semi_variable
542,1,2021-01-01,repairs,1429.29,fixed
543,1,2021-01-01,packaging_extra,825.72,variable
544,1,2021-01-01,advertising,8386.06,variable
545,2,2021-01-01,staff,27600.0,semi_variable
546,2,2021-01-01,rent,15000,fixed
547,2,2021-01-01,utilities,5000.0,semi_variable
548,2,2021-01-01,gas_consumables,3000.0,semi_variable
549,2,2021-01-01,procurement_travel,4600.0,semi_variable
550,2,2021-01-01,repairs,1081.42,fixed
551,2,2021-01-01,packaging_extra,1168.43,variable
552,2,2021-01-01,advertising,4831.29,variable
553,3,2021-01-01,staff,23000.0,semi_variable
554,3,2021-01-01,rent,12000,fixed
555,3,2021-01-01,utilities,5000.0,semi_variable
556,3,2021-01-01,gas_consumables,3000.0,semi_variable
557,3,2021-01-01,procurement_travel,4600.0,semi_variable
558,3,2021-01-01,repairs,542.72,fixed
559,3,2021-01-01,packaging_extra,839.57,variable
560,3,2021-01-01,advertising,1807.94,variable
561,,2021-01-01,compliance,1200,fixed
562,,2021-01-01,kitchen_rent,15000,fixed
563,,2021-01-01,founder_drawings,20000,fixed
