customer_id,platform_id,platform_customer_ref,first_order_date,delivery_area
68,1,P1-000068,2018-02-08,Adyar
69,1,P1-000069,2018-02-08,Sholinganallur
70,4,P4-000070,2018-02-08,Thoraipakam
71,2,P2-000071,2018-02-08,Perungalathur
72,4,P4-000072,2018-02-08,Adyar
73,4,P4-000073,2018-02-08,Velachery
74,4,P4-000074,2018-02-08,Thoraipakkam
75,1,P1-000075,2018-02-08,Thoraipakkam OMR
76,3,P3-000076,2018-02-09,Thoraipakkam
77,3,P3-000077,2018-02-09,Velacherry
78,1,P1-000078,2018-02-09,velachery
79,3,P3-000079,2018-02-09,sholinganallur
80,1,P1-000080,2018-02-10,Thoraipakkam
81,1,P1-000081,2018-02-10,Thiruvanmiyur
82,1,P1-000082,2018-02-10,Adyar
83,3,P3-000083,2018-02-10,velachery
84,2,P2-000084,2018-02-10,Kandanchavadi
85,4,P4-000085,2018-02-10,sholinganallur
86,2,P2-000086,2018-02-10,Thoraipakkam
87,2,P2-000087,2018-02-10,thiruvanmiyur
88,1,P1-000088,2018-02-10,sholinganallur
89,2,P2-000089,2018-02-10,taramani
90,1,P1-000090,2018-02-10,Madhavaram
91,1,P1-000091,2018-02-10,Kandanchavadi
92,3,P3-000092,2018-02-11,sholinganallur
93,1,P1-000093,2018-02-11,Thoraipakkam
94,1,P1-000094,2018-02-11,Velacherry
95,2,P2-000095,2018-02-11,Kandanchavadi
96,2,P2-000096,2018-02-11,karapakkam
97,1,P1-000097,2018-02-11,navalur
98,1,P1-000098,2018-02-11,Taramani
99,3,P3-000099,2018-02-11,Taramani
100,1,P1-000100,2018-02-11,Thoraipakkam
101,2,P2-000101,2018-02-11,Sholinganallur
102,1,P1-000102,2018-02-11,Velacherry
103,2,P2-000103,2018-02-11,taramani
104,3,P3-000104,2018-02-11,Thoraipakkam OMR
105,2,P2-000105,2018-02-11,Perungalathur
106,2,P2-000106,2018-02-11,Velachery
107,2,P2-000107,2018-02-11,Sholinganallur
108,1,P1-000108,2018-02-11,Madhavaram
109,1,P1-000109,2018-02-12,Thoraipakam
110,1,P1-000110,2018-02-12,navalur
111,1,P1-000111,2018-02-12,Velachery
112,1,P1-000112,2018-02-12,taramani
113,2,P2-000113,2018-02-12,thoraipakkam
114,1,P1-000114,2018-02-12,Sholinganallur
115,3,P3-000115,2018-02-13,Thoraipakam
116,1,P1-000116,2018-02-13,sholinganallur
117,4,P4-000117,2018-02-13,kandanchavadi
118,1,P1-000118,2018-02-13,Perumgudi
119,4,P4-000119,2018-02-13,Sholinganalur
120,1,P1-000120,2018-02-13,Perumgudi
121,1,P1-000121,2018-02-14,perungudi
122,1,P1-000122,2018-02-14,Perungudi.
123,3,P3-000123,2018-02-14,Velachery
124,1,P1-000124,2018-02-14,Sholinganallur
125,1,P1-000125,2018-02-14,Kandanchawadi
126,2,P2-000126,2018-02-14,Siruseri
127,2,P2-000127,2018-02-14,Perungudi.
128,3,P3-000128,2018-02-14,Velacherry
129,3,P3-000129,2018-02-15,Perungudi.
130,1,P1-000130,2018-02-15,perungudi
131,2,P2-000131,2018-02-15,Velacherry
132,2,P2-000132,2018-02-15,sholinganallur
133,1,P1-000133,2018-02-15,kandanchavadi
134,2,P2-000134,2018-02-15,Madhavaram
135,1,P1-000135,2018-02-15,karapakkam
136,1,P1-000136,2018-02-15,thiruvanmiyur
137,1,P1-000137,2018-02-15,Sholinganalur
138,4,P4-000138,2018-02-16,Sholinganallur
139,1,P1-000139,2018-02-16,Taramani
140,3,P3-000140,2018-02-16,Thoraipakkam
141,3,P3-000141,2018-02-16,Perungudi
142,2,P2-000142,2018-02-17,Thoraipakam
143,1,P1-000143,2018-02-17,taramani
144,2,P2-000144,2018-02-17,Navalur
145,2,P2-000145,2018-02-17,Madhavaram
146,2,P2-000146,2018-02-17,Thoraipakkam
147,2,P2-000147,2018-02-17,Kandanchavadi 
148,1,P1-000148,2018-02-17,Kandanchavadi 
149,3,P3-000149,2018-02-17,Velachery
150,3,P3-000150,2018-02-17,kandanchavadi
151,1,P1-000151,2018-02-17,Velacherry
152,2,P2-000152,2018-02-17,thoraipakkam
153,2,P2-000153,2018-02-17,Thoraipakkam OMR
154,2,P2-000154,2018-02-17,Siruseri
155,1,P1-000155,2018-02-17,Velachery
156,3,P3-000156,2018-02-17,Navalur
157,2,P2-000157,2018-02-18,Thoraipakkam OMR
158,1,P1-000158,2018-02-18,Thoraipakkam
159,1,P1-000159,2018-02-18,perungudi
160,1,P1-000160,2018-02-18,thoraipakkam
161,1,P1-000161,2018-02-18,velachery
162,1,P1-000162,2018-02-18,karapakkam
163,1,P1-000163,2018-02-18,karapakkam
164,2,P2-000164,2018-02-18,Velachery
165,1,P1-000165,2018-02-18,kandanchavadi
166,4,P4-000166,2018-02-18,Velacherry
167,2,P2-000167,2018-02-18,Sholinganalur
168,1,P1-000168,2018-02-18,Karapakkam
169,1,P1-000169,2018-02-18,thiruvanmiyur
170,1,P1-000170,2018-02-18,sholinganallur
171,2,P2-000171,2018-02-18,Madhavaram
172,1,P1-000172,2018-02-18,Siruseri
173,2,P2-000173,2018-02-19,Thoraipakkam
174,2,P2-000174,2018-02-19,Thiruvanmiyur
175,3,P3-000175,2018-02-19,kandanchavadi
176,3,P3-000176,2018-02-19,Madhavaram
177,3,P3-000177,2018-02-20,Velacherry
178,1,P1-000178,2018-02-20,sholinganallur
179,1,P1-000179,2018-02-20,Perumgudi
180,2,P2-000180,2018-02-20,Kandanchavadi 
181,1,P1-000181,2018-02-20,sholinganallur
182,2,P2-000182,2018-02-20,Velacherry
183,1,P1-000183,2018-02-20,Kandanchawadi
184,1,P1-000184,2018-02-21,Madhavaram
185,2,P2-000185,2018-02-21,Perumgudi
186,1,P1-000186,2018-02-21,Taramani
187,1,P1-000187,2018-02-21,Thoraipakkam OMR
188,3,P3-000188,2018-02-21,Perungalathur
189,1,P1-000189,2018-02-21,Thiruvanmiyur
190,1,P1-000190,2018-02-21,kandanchavadi
191,1,P1-000191,2018-02-21,kandanchavadi
192,3,P3-000192,2018-02-21,Navalur
193,1,P1-000193,2018-02-22,Siruseri
194,1,P1-000194,2018-02-22,Madhavaram
195,1,P1-000195,2018-02-22,Sholinganalur
196,1,P1-000196,2018-02-22,Karapakkam
197,1,P1-000197,2018-02-22,Perungalathur
198,1,P1-000198,2018-02-22,perungudi
199,1,P1-000199,2018-02-22,Karapakkam
200,1,P1-000200,2018-02-22,perungudi
201,1,P1-000201,2018-02-23,Madhavaram
202,4,P4-000202,2018-02-23,Velachery
203,2,P2-000203,2018-02-23,Kandanchavadi 
204,2,P2-000204,2018-02-23,Adyar
205,2,P2-000205,2018-02-23,Perungudi
206,2,P2-000206,2018-02-23,Kandanchavadi 
207,1,P1-000207,2018-02-23,Navalur
208,1,P1-000208,2018-02-24,kandanchavadi
209,2,P2-000209,2018-02-24,Taramani
210,3,P3-000210,2018-02-24,Perungalathur
211,3,P3-000211,2018-02-24,Adyar
212,3,P3-000212,2018-02-24,Sholinganalur
213,1,P1-000213,2018-02-24,perungudi
214,1,P1-000214,2018-02-24,Thoraipakkam
215,1,P1-000215,2018-02-24,Kandanchavadi
216,1,P1-000216,2018-02-24,Perumgudi
217,3,P3-000217,2018-02-24,Karapakkam
218,1,P1-000218,2018-02-24,Perumgudi
219,3,P3-000219,2018-02-24,sholinganallur
220,2,P2-000220,2018-02-24,Sholinganallur
221,1,P1-000221,2018-02-24,velachery
222,4,P4-000222,2018-02-25,Thoraipakkam OMR
223,2,P2-000223,2018-02-25,velachery
224,1,P1-000224,2018-02-25,Kandanchavadi
225,2,P2-000225,2018-02-25,Thoraipakam
226,3,P3-000226,2018-02-25,Madhavaram
227,1,P1-000227,2018-02-25,Perumgudi
228,2,P2-000228,2018-02-25,karapakkam
229,2,P2-000229,2018-02-25,Thiruvanmiyur
230,2,P2-000230,2018-02-25,thiruvanmiyur
231,4,P4-000231,2018-02-25,Taramani
232,2,P2-000232,2018-02-25,Thoraipakam
233,3,P3-000233,2018-02-25,Navalur
234,2,P2-000234,2018-02-25,Adyar
235,4,P4-000235,2018-02-26,Perungalathur
236,2,P2-000236,2018-02-26,Kandanchawadi
237,4,P4-000237,2018-02-26,thiruvanmiyur
238,1,P1-000238,2018-02-26,Perumgudi
239,1,P1-000239,2018-02-26,Sholinganallur
240,2,P2-000240,2018-02-27,velachery
241,1,P1-000241,2018-02-27,Perungalathur
242,4,P4-000242,2018-02-27,perungudi
243,4,P4-000243,2018-02-27,perungudi
244,4,P4-000244,2018-02-28,Perumgudi
245,1,P1-000245,2018-02-28,sholinganallur
246,1,P1-000246,2018-02-28,Perungalathur
247,1,P1-000247,2018-02-28,thiruvanmiyur
248,1,P1-000248,2018-02-28,thoraipakkam
249,3,P3-000249,2018-02-28,Kandanchawadi
250,3,P3-000250,2018-02-28,Kandanchavadi
251,1,P1-000251,2018-03-01,thoraipakkam
252,2,P2-000252,2018-03-01,karapakkam
253,2,P2-000253,2018-03-01,taramani
254,2,P2-000254,2018-03-01,Thoraipakkam
255,1,P1-000255,2018-03-01,Kandanchavadi
256,2,P2-000256,2018-03-02,navalur
257,1,P1-000257,2018-03-02,Velacherry
258,2,P2-000258,2018-03-02,navalur
259,4,P4-000259,2018-03-02,Perungalathur
260,1,P1-000260,2018-03-02,Kandanchawadi
261,2,P2-000261,2018-03-02,Perungalathur
262,1,P1-000262,2018-03-03,Madhavaram
263,3,P3-000263,2018-03-03,Velachery
264,4,P4-000264,2018-03-03,Perungalathur
265,3,P3-000265,2018-03-03,taramani
266,2,P2-000266,2018-03-03,sholinganallur
267,4,P4-000267,2018-03-03,velachery
268,3,P3-000268,2018-03-03,Thoraipakam
269,1,P1-000269,2018-03-03,Thiruvanmiyur
270,1,P1-000270,2018-03-03,kandanchavadi
271,2,P2-000271,2018-03-03,thoraipakkam
272,1,P1-000272,2018-03-03,Perungudi
273,4,P4-000273,2018-03-03,Kandanchavadi
274,3,P3-000274,2018-03-04,Thoraipakkam OMR
275,1,P1-000275,2018-03-04,Thoraipakkam
276,1,P1-000276,2018-03-04,taramani
277,4,P4-000277,2018-03-04,Navalur
278,2,P2-000278,2018-03-04,Taramani
279,4,P4-000279,2018-03-04,Kandanchavadi 
280,1,P1-000280,2018-03-04,Navalur
281,1,P1-000281,2018-03-04,Adyar
282,3,P3-000282,2018-03-04,kandanchavadi
283,3,P3-000283,2018-03-04,Velachery
284,3,P3-000284,2018-03-04,navalur
285,3,P3-000285,2018-03-04,Perumgudi
286,1,P1-000286,2018-03-04,Perumgudi
287,2,P2-000287,2018-03-04,Perungudi.
288,1,P1-000288,2018-03-04,Adyar
289,3,P3-000289,2018-03-04,Thoraipakam
290,3,P3-000290,2018-03-04,Velachery
291,2,P2-000291,2018-03-04,Perumgudi
292,3,P3-000292,2018-03-04,Thiruvanmiyur
293,2,P2-000293,2018-03-05,Sholinganalur
294,1,P1-000294,2018-03-05,Thoraipakam
295,1,P1-000295,2018-03-05,Velachery
296,3,P3-000296,2018-03-05,Velacherry
297,1,P1-000297,2018-03-05,Velachery
298,2,P2-000298,2018-03-05,kandanchavadi
299,3,P3-000299,2018-03-05,Velacherry
300,2,P2-000300,2018-03-05,thiruvanmiyur
301,3,P3-000301,2018-03-05,Navalur
302,1,P1-000302,2018-03-06,Thoraipakkam
303,2,P2-000303,2018-03-06,Sholinganalur
304,1,P1-000304,2018-03-06,Perungudi
305,3,P3-000305,2018-03-06,Kandanchavadi 
306,2,P2-000306,2018-03-06,taramani
307,4,P4-000307,2018-03-06,Thoraipakkam
308,4,P4-000308,2018-03-07,Sholinganallur
309,3,P3-000309,2018-03-07,Kandanchawadi
310,3,P3-000310,2018-03-07,thiruvanmiyur
311,3,P3-000311,2018-03-07,Kandanchavadi
312,3,P3-000312,2018-03-07,thoraipakkam
313,3,P3-000313,2018-03-07,Adyar
314,1,P1-000314,2018-03-08,Perungudi
315,1,P1-000315,2018-03-08,Thoraipakkam
316,3,P3-000316,2018-03-08,navalur
317,3,P3-000317,2018-03-08,thoraipakkam
318,2,P2-000318,2018-03-08,sholinganallur
319,1,P1-000319,2018-03-08,Kandanchavadi 
320,2,P2-000320,2018-03-08,Adyar
321,4,P4-000321,2018-03-09,Karapakkam
322,1,P1-000322,2018-03-09,Kandanchavadi 
323,4,P4-000323,2018-03-09,velachery
324,2,P2-000324,2018-03-09,Thiruvanmiyur
325,2,P2-000325,2018-03-09,Sholinganalur
326,2,P2-000326,2018-03-09,Thiruvanmiyur
327,1,P1-000327,2018-03-09,Thiruvanmiyur
328,4,P4-000328,2018-03-09,Taramani
329,1,P1-000329,2018-03-10,Thiruvanmiyur
330,1,P1-000330,2018-03-10,Perumgudi
331,1,P1-000331,2018-03-10,navalur
332,1,P1-000332,2018-03-10,thiruvanmiyur
333,2,P2-000333,2018-03-10,Perungalathur
334,3,P3-000334,2018-03-10,kandanchavadi
335,3,P3-000335,2018-03-10,velachery
336,1,P1-000336,2018-03-10,karapakkam
337,1,P1-000337,2018-03-10,Thoraipakkam OMR
338,2,P2-000338,2018-03-10,Velacherry
339,1,P1-000339,2018-03-10,Velachery
340,2,P2-000340,2018-03-10,Sholinganalur
341,2,P2-000341,2018-03-10,Sholinganalur
342,4,P4-000342,2018-03-10,Perungudi.
343,3,P3-000343,2018-03-10,Velacherry
344,1,P1-000344,2018-03-10,Adyar
345,4,P4-000345,2018-03-10,navalur
346,1,P1-000346,2018-03-10,Thiruvanmiyur
347,1,P1-000347,2018-03-11,Perungudi
348,4,P4-000348,2018-03-11,Perungudi
349,2,P2-000349,2018-03-11,Adyar
350,3,P3-000350,2018-03-11,Adyar
351,2,P2-000351,2018-03-11,Thoraipakkam
352,3,P3-000352,2018-03-11,Velacherry
353,1,P1-000353,2018-03-11,Kandanchavadi 
354,3,P3-000354,2018-03-11,Perumgudi
355,2,P2-000355,2018-03-11,taramani
356,1,P1-000356,2018-03-11,Thoraipakkam OMR
357,2,P2-000357,2018-03-11,Perungudi.
358,1,P1-000358,2018-03-11,Thoraipakkam OMR
359,3,P3-000359,2018-03-11,Thoraipakkam
360,1,P1-000360,2018-03-11,Thoraipakam
361,2,P2-000361,2018-03-11,velachery
362,3,P3-000362,2018-03-12,Navalur
363,3,P3-000363,2018-03-12,Thiruvanmiyur
364,2,P2-000364,2018-03-12,Madhavaram
365,4,P4-000365,2018-03-12,thiruvanmiyur
366,1,P1-000366,2018-03-12,perungudi
367,2,P2-000367,2018-03-12,Kandanchawadi
368,4,P4-000368,2018-03-12,Perumgudi
369,1,P1-000369,2018-03-12,Siruseri
370,1,P1-000370,2018-03-13,Navalur
371,1,P1-000371,2018-03-13,Navalur
372,1,P1-000372,2018-03-13,Perumgudi
373,1,P1-000373,2018-03-13,taramani
374,2,P2-000374,2018-03-13,Velachery
375,3,P3-000375,2018-03-13,perungudi
376,1,P1-000376,2018-03-14,Madhavaram
377,4,P4-000377,2018-03-14,Kandanchawadi
378,1,P1-000378,2018-03-14,Taramani
379,1,P1-000379,2018-03-14,Perungudi.
380,1,P1-000380,2018-03-14,thiruvanmiyur
381,1,P1-000381,2018-03-14,thiruvanmiyur
382,2,P2-000382,2018-03-15,Perungudi.
383,3,P3-000383,2018-03-15,sholinganallur
384,1,P1-000384,2018-03-15,Sholinganalur
385,1,P1-000385,2018-03-15,Perungudi.
386,2,P2-000386,2018-03-15,Sholinganallur
387,3,P3-000387,2018-03-15,Thiruvanmiyur
388,2,P2-000388,2018-03-15,Velacherry
389,1,P1-000389,2018-03-16,Velacherry
390,2,P2-000390,2018-03-16,Kandanchavadi 
391,4,P4-000391,2018-03-16,Thoraipakkam
392,3,P3-000392,2018-03-16,sholinganallur
393,1,P1-000393,2018-03-16,Perungalathur
394,1,P1-000394,2018-03-16,Perungudi.
395,2,P2-000395,2018-03-16,Karapakkam
396,2,P2-000396,2018-03-16,Perungalathur
397,3,P3-000397,2018-03-16,Madhavaram
398,1,P1-000398,2018-03-16,Velacherry
399,1,P1-000399,2018-03-17,thiruvanmiyur
400,4,P4-000400,2018-03-17,Velacherry
401,3,P3-000401,2018-03-17,Thiruvanmiyur
402,3,P3-000402,2018-03-17,Sholinganalur
403,2,P2-000403,2018-03-17,navalur
404,1,P1-000404,2018-03-17,Velacherry
405,2,P2-000405,2018-03-17,Perumgudi
406,2,P2-000406,2018-03-17,Perumgudi
407,1,P1-000407,2018-03-17,Thoraipakkam OMR
408,2,P2-000408,2018-03-17,Adyar
409,2,P2-000409,2018-03-17,Perungudi
410,1,P1-000410,2018-03-17,karapakkam
411,1,P1-000411,2018-03-17,taramani
412,3,P3-000412,2018-03-17,Kandanchawadi
413,1,P1-000413,2018-03-18,Taramani
414,2,P2-000414,2018-03-18,Velachery
415,1,P1-000415,2018-03-18,kandanchavadi
416,2,P2-000416,2018-03-18,Adyar
417,1,P1-000417,2018-03-18,Thoraipakam
418,3,P3-000418,2018-03-18,perungudi
419,3,P3-000419,2018-03-18,Kandanchavadi
420,2,P2-000420,2018-03-18,taramani
421,1,P1-000421,2018-03-18,velachery
422,2,P2-000422,2018-03-18,Velacherry
423,1,P1-000423,2018-03-18,navalur
424,2,P2-000424,2018-03-18,Adyar
425,2,P2-000425,2018-03-18,Madhavaram
426,3,P3-000426,2018-03-18,Sholinganallur
427,3,P3-000427,2018-03-18,Navalur
428,2,P2-000428,2018-03-18,Thiruvanmiyur
429,1,P1-000429,2018-03-18,kandanchavadi
430,2,P2-000430,2018-03-18,Navalur
431,3,P3-000431,2018-03-18,karapakkam
432,3,P3-000432,2018-03-18,Perungalathur
433,1,P1-000433,2018-03-18,Thiruvanmiyur
434,3,P3-000434,2018-03-19,Thoraipakkam
435,4,P4-000435,2018-03-19,Perumgudi
436,3,P3-000436,2018-03-19,Thiruvanmiyur
437,3,P3-000437,2018-03-19,Perungudi
438,2,P2-000438,2018-03-19,Sholinganalur
439,1,P1-000439,2018-03-19,Velacherry
440,1,P1-000440,2018-03-20,Velacherry
441,4,P4-000441,2018-03-20,sholinganallur
442,1,P1-000442,2018-03-20,karapakkam
443,1,P1-000443,2018-03-20,kandanchavadi
444,2,P2-000444,2018-03-20,Siruseri
445,1,P1-000445,2018-03-21,Kandanchavadi
446,1,P1-000446,2018-03-21,thoraipakkam
447,3,P3-000447,2018-03-21,Sholinganallur
448,1,P1-000448,2018-03-21,Sholinganallur
449,2,P2-000449,2018-03-21,Navalur
450,1,P1-000450,2018-03-21,sholinganallur
451,2,P2-000451,2018-03-21,karapakkam
452,1,P1-000452,2018-03-21,Thoraipakkam OMR
453,4,P4-000453,2018-03-22,karapakkam
454,2,P2-000454,2018-03-22,Sholinganalur
455,1,P1-000455,2018-03-22,Thoraipakam
456,3,P3-000456,2018-03-22,Perungudi
457,1,P1-000457,2018-03-22,Kandanchawadi
458,1,P1-000458,2018-03-22,Kandanchavadi
459,1,P1-000459,2018-03-23,Madhavaram
460,4,P4-000460,2018-03-23,Perungudi.
461,1,P1-000461,2018-03-23,Perumgudi
462,1,P1-000462,2018-03-23,Kandanchawadi
463,3,P3-000463,2018-03-23,Perungudi
464,4,P4-000464,2018-03-23,Velachery
465,2,P2-000465,2018-03-23,Kandanchawadi
466,3,P3-000466,2018-03-23,Thoraipakam
467,1,P1-000467,2018-03-24,Siruseri
468,3,P3-000468,2018-03-24,Kandanchawadi
469,4,P4-000469,2018-03-24,Kandanchawadi
470,1,P1-000470,2018-03-24,Kandanchawadi
471,2,P2-000471,2018-03-24,Kandanchavadi
472,1,P1-000472,2018-03-24,sholinganallur
473,1,P1-000473,2018-03-24,Perungudi.
474,3,P3-000474,2018-03-24,Siruseri
475,2,P2-000475,2018-03-24,navalur
476,2,P2-000476,2018-03-24,Thoraipakkam OMR
477,3,P3-000477,2018-03-25,kandanchavadi
478,1,P1-000478,2018-03-25,Sholinganalur
479,2,P2-000479,2018-03-25,Perumgudi
480,4,P4-000480,2018-03-25,Perungudi
481,2,P2-000481,2018-03-25,Sholinganalur
482,1,P1-000482,2018-03-25,thiruvanmiyur
483,3,P3-000483,2018-03-25,Sholinganalur
484,3,P3-000484,2018-03-25,Thoraipakam
485,2,P2-000485,2018-03-25,Taramani
486,1,P1-000486,2018-03-25,Siruseri
487,1,P1-000487,2018-03-25,Taramani
488,2,P2-000488,2018-03-25,Taramani
489,2,P2-000489,2018-03-25,kandanchavadi
490,1,P1-000490,2018-03-25,Kandanchavadi 
491,2,P2-000491,2018-03-25,Perungalathur
492,3,P3-000492,2018-03-25,Thoraipakkam OMR
493,1,P1-000493,2018-03-25,thoraipakkam
494,2,P2-000494,2018-03-26,Velacherry
495,3,P3-000495,2018-03-26,Siruseri
496,3,P3-000496,2018-03-26,Perumgudi
497,3,P3-000497,2018-03-26,Madhavaram
498,3,P3-000498,2018-03-26,velachery
499,2,P2-000499,2018-03-26,Adyar
500,3,P3-000500,2018-03-27,perungudi
501,1,P1-000501,2018-03-27,velachery
502,1,P1-000502,2018-03-27,karapakkam
503,3,P3-000503,2018-03-27,Siruseri
504,1,P1-000504,2018-03-27,Velachery
505,2,P2-000505,2018-03-27,Thiruvanmiyur
506,1,P1-000506,2018-03-28,Madhavaram
507,4,P4-000507,2018-03-28,thoraipakkam
508,4,P4-000508,2018-03-28,Taramani
509,1,P1-000509,2018-03-28,Kandanchavadi
510,2,P2-000510,2018-03-28,Kandanchavadi 
511,2,P2-000511,2018-03-28,thiruvanmiyur
512,3,P3-000512,2018-03-28,Kandanchavadi
513,2,P2-000513,2018-03-29,Siruseri
514,3,P3-000514,2018-03-29,Taramani
515,2,P2-000515,2018-03-29,Velachery
516,1,P1-000516,2018-03-29,Perungudi.
517,1,P1-000517,2018-03-29,navalur
518,1,P1-000518,2018-03-29,Perungudi
519,4,P4-000519,2018-03-30,Perungudi.
520,2,P2-000520,2018-03-30,karapakkam
521,2,P2-000521,2018-03-30,kandanchavadi
522,2,P2-000522,2018-03-30,Perumgudi
523,3,P3-000523,2018-03-30,Thoraipakam
524,1,P1-000524,2018-03-30,perungudi
525,2,P2-000525,2018-03-30,Thoraipakam
526,1,P1-000526,2018-03-31,Thoraipakam
527,4,P4-000527,2018-03-31,Thoraipakkam
528,2,P2-000528,2018-03-31,Sholinganalur
529,3,P3-000529,2018-03-31,thoraipakkam
530,1,P1-000530,2018-03-31,Perungudi
531,3,P3-000531,2018-03-31,Kandanchavadi 
532,2,P2-000532,2018-03-31,Perumgudi
533,1,P1-000533,2018-03-31,Navalur
534,1,P1-000534,2018-03-31,Kandanchawadi
535,1,P1-000535,2018-03-31,Taramani
536,3,P3-000536,2018-03-31,Thoraipakkam
537,2,P2-000537,2018-03-31,Velachery
538,3,P3-000538,2018-04-01,karapakkam
539,2,P2-000539,2018-04-01,Perungudi.
540,2,P2-000540,2018-04-01,Taramani
541,3,P3-000541,2018-04-01,Perungudi.
542,2,P2-000542,2018-04-01,Kandanchavadi
543,3,P3-000543,2018-04-01,Karapakkam
544,1,P1-000544,2018-04-01,thoraipakkam
545,2,P2-000545,2018-04-01,Taramani
546,3,P3-000546,2018-04-01,Kandanchavadi 
547,2,P2-000547,2018-04-01,Velachery
548,3,P3-000548,2018-04-01,Perungudi
549,3,P3-000549,2018-04-01,taramani
550,3,P3-000550,2018-04-01,thoraipakkam
551,2,P2-000551,2018-04-01,Adyar
552,1,P1-000552,2018-04-01,Perungudi
553,3,P3-000553,2018-04-01,kandanchavadi
554,1,P1-000554,2018-04-01,karapakkam
555,2,P2-000555,2018-04-02,Navalur
556,2,P2-000556,2018-04-02,Kandanchavadi
557,2,P2-000557,2018-04-02,Thiruvanmiyur
558,1,P1-000558,2018-04-02,kandanchavadi
559,3,P3-000559,2018-04-02,Siruseri
560,2,P2-000560,2018-04-02,kandanchavadi
561,2,P2-000561,2018-04-02,Velacherry
562,2,P2-000562,2018-04-02,perungudi
563,3,P3-000563,2018-04-02,taramani
564,4,P4-000564,2018-04-03,Perumgudi
565,1,P1-000565,2018-04-03,Kandanchavadi 
566,4,P4-000566,2018-04-03,Kandanchavadi
567,1,P1-000567,2018-04-03,Siruseri
568,2,P2-000568,2018-04-03,Perungalathur
569,4,P4-000569,2018-04-03,taramani
570,2,P2-000570,2018-04-03,velachery
571,2,P2-000571,2018-04-03,Perungudi.
572,2,P2-000572,2018-04-03,Sholinganalur
573,4,P4-000573,2018-04-04,Perungudi.
574,2,P2-000574,2018-04-04,kandanchavadi
575,4,P4-000575,2018-04-04,Thiruvanmiyur
576,2,P2-000576,2018-04-04,perungudi
